fbref,fpl_id,first_name,second_name,Player,web_name,Age,team_id,team_name,short_name,element_type,position,Seasons_count,now_cost,tsb,MP,Starts,Min,90s,npxG,xAG,finishing,MP_new,90s_new,npxG_new,xAG_new,weighted_npxG,weighted_xAG
2f90f6b8,134,James,Milner,James Milner,Milner,37.0,5,Brighton,BHA,3,MID,3.0,5.0,0.1,70.0,27.0,2539.0,28.2,0.04,0.17,0.98,3.0,1.9,0.09,0.12,0.05,0.17
3e1550ee,344,Scott,Carson,,Carson,,13,Man City,MCI,1,GKP,,4.0,0.2,,,,,,,,,,,,,
15ea812b,236,James,Tarkowski,James Tarkowski,Tarkowski,30.0,8,Everton,EVE,2,DEF,3.0,4.9,1.4,111.0,111.0,9945.0,110.5,0.07,0.06,0.92,3.0,3.0,0.12,0.13,0.07,0.06
be927d03,238,Ashley,Young,Ashley Young,Young,38.0,8,Everton,EVE,2,DEF,3.0,4.5,0.1,84.0,60.0,5566.0,61.8,0.02,0.05,0.99,1.0,0.7,0.0,0.08,0.02,0.05
da8b19e2,414,John,Ruddy,John Ruddy,Ruddy,36.0,15,Newcastle,NEW,1,GKP,3.0,4.0,0.3,89.0,88.0,7912.0,87.9,0.0,0.0,1.0,,,,,,
a6de6361,374,Tom,Heaton,,Heaton,,14,Man Utd,MUN,1,GKP,,4.0,0.3,,,,,,,,,,,,,
9328b835,521,Łukasz,Fabiański,Łukasz Fabiański,Fabianski,38.0,19,West Ham,WHU,1,GKP,3.0,4.0,14.0,83.0,80.0,7162.0,79.6,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0
f8fcd2a5,371,Jonny,Evans,Jonny Evans,Evans,35.0,14,Man Utd,MUN,2,DEF,3.0,4.4,0.1,54.0,43.0,3791.0,42.2,0.01,0.05,1.0,1.0,0.1,0.0,0.0,0.01,0.05
99813635,463,Adam,Lallana,Adam Lallana,Lallana,35.0,17,Southampton,SOU,3,MID,3.0,5.0,0.0,65.0,43.0,3133.0,34.7,0.09,0.13,0.99,1.0,0.1,0.71,0.83,0.09,0.13
7b4de647,624,Asmir,Begovic,Asmir Begović,Begovic,36.0,8,Everton,EVE,1,GKP,3.0,4.0,0.1,49.0,49.0,4409.0,49.0,0.0,0.0,1.0,,,,,,
c3e39f12,488,Fraser,Forster,Fraser Forster,Forster,34.0,18,Spurs,TOT,1,GKP,2.0,4.5,0.2,33.0,32.0,2925.0,32.5,0.0,0.0,1.0,,,,,,
0db5d2c8,112,Mathias,Jorgensen,Mathias Jørgensen,Zanka,33.0,4,Brentford,BRE,2,DEF,3.0,4.5,0.0,40.0,29.0,2708.0,30.200000000000003,0.06,0.05,1.01,,,,,,
28300a16,142,Jason,Steele,Jason Steele,Steele,32.0,5,Brighton,BHA,1,GKP,3.0,4.5,2.6,33.0,33.0,2970.0,33.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
ce5143da,148,Danny,Welbeck,Danny Welbeck,Welbeck,32.0,5,Brighton,BHA,4,FWD,3.0,5.7,13.9,85.0,57.0,5025.0,55.8,0.36,0.13,0.94,3.0,2.8,0.5,0.07,0.38,0.13
8df7a2fb,100,Ben,Mee,Ben Mee,Mee,33.0,4,Brentford,BRE,2,DEF,3.0,4.4,0.7,74.0,73.0,6380.0,70.8,0.1,0.04,1.02,1.0,0.0,0.0,0.0,0.1,0.04
20b104bc,81,Adam,Smith,Adam Smith,Smith,32.0,3,Bournemouth,BOU,2,DEF,3.0,4.5,0.2,85.0,79.0,6804.0,75.6,0.01,0.05,0.98,3.0,0.9,0.0,0.07,0.01,0.05
4f974391,517,Aaron,Cresswell,Aaron Cresswell,Cresswell,33.0,19,West Ham,WHU,2,DEF,3.0,4.0,2.0,70.0,59.0,5397.0,59.9,0.02,0.12,1.01,1.0,0.0,0.0,0.0,0.02,0.12
