Date,fbref,fpl_id,Player,Season,Comp,Round,Squad,Mins,Start,xMins,P(start),P(1_min),P(60_min),weighted_npxGI
2024-08-31,1f44ac21,351,Erling Haaland,2024-2025,Premier League,Matchweek 3,Manchester City,90,1,89.68,1.0,1.0,1.0,0.93
2024-09-01,4d77b365,316,Darwin Núñez,2024-2025,Premier League,Matchweek 3,Liverpool,15,0,12.94,0.0,0.77,0.0,0.93
2024-09-01,e342ad68,328,Mohamed Salah,2024-2025,Premier League,Matchweek 3,Liverpool,90,1,87.42,1.0,1.0,1.0,0.8800000000000001
2024-08-31,e46012d4,345,Kevin De Bruyne,2024-2025,Premier League,Matchweek 3,Manchester City,87,1,88.31,1.0,1.0,1.0,0.83
2024-09-01,dc7f8a28,182,Cole Palmer,2024-2025,Premier League,Matchweek 3,Chelsea,90,1,87.42,1.0,1.0,1.0,0.78
2024-09-01,178ae8f8,317,Diogo Jota,2024-2025,Premier League,Matchweek 3,Liverpool,75,1,74.38,1.0,1.0,1.0,0.76
2024-08-31,8450467d,260,Ali Al Hamadi,2024-2025,Premier League,Matchweek 3,Ipswich Town,10,0,10.92,0.0,1.0,0.0,0.71
2024-09-01,9c36ed83,180,Nicolas Jackson,2024-2025,Premier League,Matchweek 3,Chelsea,90,1,77.25,1.0,1.0,1.0,0.6900000000000001
2024-08-17,b66315ae,2,Gabriel Jesus,2024-2025,Premier League,Matchweek 1,Arsenal,6,0,6.0,0.0,1.0,0.0,0.69
2024-08-25,d3d774cc,178,Marc Guiu,2024-2025,Premier League,Matchweek 2,Chelsea,0,0,10.48,0.0,0.44,0.0,0.67
2024-09-01,4a1a9578,327,Luis Díaz,2024-2025,Premier League,Matchweek 3,Liverpool,65,1,72.5,1.0,1.0,1.0,0.64
2024-09-01,92e7e919,503,Son Heung-min,2024-2025,Premier League,Matchweek 3,Tottenham,90,1,89.78,1.0,1.0,1.0,0.63
2024-09-01,8e92be30,401,Alexander Isak,2024-2025,Premier League,Matchweek 3,Newcastle Utd,90,1,90.0,1.0,1.0,1.0,0.63
2024-08-31,9cfbad36,121,Julio Enciso,2024-2025,Premier League,Matchweek 3,Brighton,6,0,8.62,0.0,1.0,0.0,0.63
2024-08-31,aed3a70f,58,Ollie Watkins,2024-2025,Premier League,Matchweek 3,Aston Villa,60,1,61.51,1.0,1.0,1.0,0.61
