team_id,Squad,90s,npxG,90s_new,npxG_new,weighted_npxG
1,Arsenal,114.0,1.7670000000000003,3.0,1.39,1.78
2,Aston Villa,114.0,1.4710000000000003,3.0,1.54,1.49
3,Bournemouth,122.0,1.266,3.0,1.89,1.3
4,Brentford,114.0,1.4010000000000002,3.0,1.63,1.43
5,Brighton,114.0,1.4280000000000002,3.0,1.77,1.46
6,Chelsea,114.0,1.594,3.0,1.62,1.62
7,Crystal Palace,114.0,1.1400000000000003,3.0,0.99,1.15
8,Everton,114.0,1.2720000000000002,3.0,1.08,1.28
9,Fulham,122.0,1.2135,3.0,1.04,1.22
10,Ipswich Town,46.0,0.78,3.0,0.4,0.77
11,Leicester City,122.0,0.929,3.0,0.7,0.93
12,Liverpool,114.0,2.0620000000000007,3.0,2.28,2.1
13,Manchester City,114.0,1.932,3.0,2.1,1.96
14,Manchester Utd,114.0,1.4180000000000004,3.0,1.74,1.45
15,Newcastle Utd,114.0,1.7220000000000004,3.0,1.15,1.72
16,Nott'ham Forest,122.0,1.154,3.0,1.53,1.18
17,Southampton,122.0,0.8695,3.0,1.12,0.89
18,Tottenham,114.0,1.652,3.0,1.61,1.67
19,West Ham,114.0,1.242,3.0,1.2,1.26
20,Wolves,114.0,1.0840000000000003,3.0,1.05,1.1
