fbref,fpl_id,first_name,second_name,Player,web_name,Age,team_id,team_name,short_name,element_type,position,Seasons_count,now_cost,tsb,MP,Starts,Min,90s,npxG,xAG,finishing,MP_new,90s_new,npxG_new,xAG_new,weighted_npxG,weighted_xAG
3e1550ee,344,Scott,Carson,,Carson,,13,Man City,MCI,1,GKP,,4.0,0.2,,,,,,,,,,,,,
a6de6361,374,Tom,Heaton,,Heaton,,14,Man Utd,MUN,1,GKP,,4.0,0.3,,,,,,,,,,,,,
,589,Niclas,Füllkrug,,Füllkrug,,19,West Ham,WHU,4,FWD,,6.9,2.4,,,,,,,,,,,,,
0d85a4e8,155,Marcus,Bettinelli,,Bettinelli,,6,Chelsea,CHE,1,GKP,,4.0,0.4,,,,,,,,,,,,,
5791b997,556,Tom,King,,King,,20,Wolves,WOL,1,GKP,,4.0,1.5,,,,,,,,,,,,,
,611,Sam,Szmodics,,Szmodics,,10,Ipswich,IPS,3,MID,,6.0,0.4,,,,,,,,,,,,,
3f2587ee,510,Alfie,Whiteman,,Whiteman,,18,Spurs,TOT,1,GKP,,4.0,1.6,,,,,,,,,,,,,
,593,Matthijs,de Ligt,,De Ligt,,14,Man Utd,MUN,2,DEF,,5.0,3.2,,,,,,,,,,,,,
5e253986,479,Brandon,Austin,,Austin,,18,Spurs,TOT,1,GKP,,4.0,0.5,,,,,,,,,,,,,
fb495bb8,629,Matt,O'Riley,,O'Riley,,5,Brighton,BHA,3,MID,,5.5,0.0,,,,,,,,,,,,,
,636,Federico,Chiesa,,Chiesa,,12,Liverpool,LIV,3,MID,,7.0,0.2,,,,,,,,,,,,,
,654,Carlos,Soler,,C.Soler,,19,West Ham,WHU,3,MID,,5.0,0.0,,,,,,,,,,,,,
,576,Andy,Irving,,Irving,,19,West Ham,WHU,3,MID,,4.9,0.0,,,,,,,,,,,,,
,594,Noussair,Mazraoui,,Mazraoui,,14,Man Utd,MUN,2,DEF,,4.5,13.0,,,,,,,,,,,,,
66c52a77,628,Ferdi,Kadioglu,,F.Kadıoğlu,,5,Brighton,BHA,2,DEF,,4.5,0.1,,,,,,,,,,,,,
,652,Manuel,Ugarte,,Ugarte,,14,Man Utd,MUN,3,MID,,5.0,0.0,,,,,,,,,,,,,
4db55657,279,Corrie,Ndaba,,Ndaba,,10,Ipswich,IPS,2,DEF,,4.0,0.0,,,,,,,,,,,,,
,586,Jorge,Cuenca Barreno,,J.Cuenca,,9,Fulham,FUL,2,DEF,,4.4,0.1,,,,,,,,,,,,,
a48635b8,55,Viljami,Sinisalo,,Sinisalo,,2,Aston Villa,AVL,1,GKP,,4.0,0.0,,,,,,,,,,,,,
02aed921,280,Cieran,Slicker,,Slicker,,10,Ipswich,IPS,1,GKP,,4.0,0.9,,,,,,,,,,,,,
,592,Julián,Araujo Zúñiga,,J.Araujo,,3,Bournemouth,BOU,2,DEF,,4.5,0.2,,,,,,,,,,,,,
,650,Maxence,Lacroix,,Lacroix,,7,Crystal Palace,CRY,2,DEF,,4.5,0.0,,,,,,,,,,,,,
,617,Francisco Evanilson,de Lima Barbosa,,Evanilson,,3,Bournemouth,BOU,4,FWD,,6.0,0.3,,,,,,,,,,,,,
d8edc4be,599,Will,Dennis,,Dennis,,3,Bournemouth,BOU,1,GKP,,4.0,0.4,,,,,,,,,,,,,
c8387671,319,Harvey,Elliott,,Elliott,,12,Liverpool,LIV,3,MID,,5.3,0.6,,,,,,,,,,,,,
072e68ed,367,Altay,Bayindir,,Bayindir,,14,Man Utd,MUN,1,GKP,,4.4,0.1,,,,,,,,,,,,,
,619,Jens,Cajuste,,Cajuste,,10,Ipswich,IPS,3,MID,,4.5,0.0,,,,,,,,,,,,,
,591,Jean-Clair,Todibo,,Todibo,,19,West Ham,WHU,2,DEF,,4.5,0.4,,,,,,,,,,,,,
a79abd8b,46,Filip,Marschall,,Marschall,,2,Aston Villa,AVL,1,GKP,,4.0,0.0,,,,,,,,,,,,,
5600c774,39,Joe,Gauci,,Gauci,,2,Aston Villa,AVL,1,GKP,,4.0,0.9,,,,,,,,,,,,,
,655,Carlos Roberto,Forbs Borges,,Forbs,,20,Wolves,WOL,3,MID,,5.5,0.0,,,,,,,,,,,,,
,578,Riccardo,Calafiori,,Calafiori,,1,Arsenal,ARS,2,DEF,,5.8,1.7,,,,,,,,,,,,,
