fbref,fpl_id,first_name,second_name,Player,web_name,Age,team_id,team_name,short_name,element_type,position,Seasons_count,now_cost,tsb,MP,Starts,Min,90s,npxG,xAG,finishing,MP_new,90s_new,npxG_new,xAG_new,weighted_npxG,weighted_xAG
91ca4a16,607,Nico,O'Reilly,,O’Reilly,,13,Man City,MCI,3,MID,,5.0,0.0,,,,,,,,,,,,,
84454067,427,Carlos Miguel,dos Santos Pereira,,C.Miguel,,16,Nott'm Forest,NFO,1,GKP,,4.4,0.2,,,,,,,,,,,,,
b59c2a92,154,Lucas,Bergström,,Bergström,,6,Chelsea,CHE,1,GKP,,4.0,0.3,,,,,,,,,,,,,
,653,Felipe,Rodrigues da Silva,,Morato,,16,Nott'm Forest,NFO,2,DEF,,4.5,0.0,,,,,,,,,,,,,
,575,Caleb,Wiley,,Wiley,,6,Chelsea,CHE,2,DEF,,4.0,0.0,,,,,,,,,,,,,
,645,Justin,Devenny,,Devenny,,7,Crystal Palace,CRY,3,MID,,4.5,0.0,,,,,,,,,,,,,
4f9091bc,613,Toby,Collyer,,Collyer,,14,Man Utd,MUN,3,MID,,4.5,0.0,,,,,,,,1.0,0.5,0.0,0.15,,
5c2595e2,614,Jenson,Metcalfe,,Metcalfe,,8,Everton,EVE,3,MID,,4.5,0.0,,,,,,,,,,,,,
c2c5ecda,87,Ethan,Brierley,,Brierley,,4,Brentford,BRE,3,MID,,4.5,0.1,,,,,,,,,,,,,
2da46a72,75,Alex,Paulsen,,Paulsen,,3,Bournemouth,BOU,1,GKP,,4.0,0.0,,,,,,,,,,,,,
,627,Roman,Dixon,,Dixon,,8,Everton,EVE,2,DEF,,4.0,0.0,,,,,,,,,,,,,
b85c3273,638,Salah-Eddine,Oulad M'hand,,Oulad M'hand,,1,Arsenal,ARS,3,MID,,4.5,0.0,,,,,,,,,,,,,
5dff6c28,597,Myles,Lewis-Skelly,,Lewis-Skelly,,1,Arsenal,ARS,3,MID,,4.5,0.1,,,,,,,,,,,,,
,649,Jayden,Meghoma,,Meghoma,,4,Brentford,BRE,2,DEF,,4.0,0.0,,,,,,,,,,,,,
,620,Ramón,Sosa,,Sosa,,16,Nott'm Forest,NFO,3,MID,,5.5,0.0,,,,,,,,,,,,,
dc45ac24,107,Igor Thiago,Nascimento Rodrigues,,Thiago,,4,Brentford,BRE,4,FWD,,5.9,0.0,,,,,,,,,,,,,
57a34cf4,109,Hákon,Valdimarsson,,Valdimarsson,,4,Brentford,BRE,1,GKP,,4.0,4.1,,,,,,,,,,,,,
,581,Filip,Jørgensen,,Jørgensen,,6,Chelsea,CHE,1,GKP,,4.4,0.3,,,,,,,,,,,,,
,642,André,Trindade da Costa Neto,,André,,20,Wolves,WOL,3,MID,,5.0,0.0,,,,,,,,,,,,,
,596,João Pedro,Ferreira Silva,,Jota Silva,,16,Nott'm Forest,NFO,3,MID,,6.0,0.1,,,,,,,,,,,,,
,595,Brajan,Gruda,,Gruda,,5,Brighton,BHA,3,MID,,5.5,0.0,,,,,,,,,,,,,
,635,Bilal,El Khannouss,,El Khannouss,,11,Leicester,LEI,3,MID,,5.0,0.0,,,,,,,,,,,,,
a42f6058,640,Sil,Swinkels,,Swinkels,,2,Aston Villa,AVL,2,DEF,,4.0,0.0,,,,,,,,,,,,,
42dd1b56,246,Luke,Harris,,Harris,,9,Fulham,FUL,3,MID,,4.5,0.0,,,,,,,,,,,,,
bca5c4a7,598,Lamare,Bogarde,,Bogarde,,2,Aston Villa,AVL,2,DEF,,4.0,0.3,,,,,,,,1.0,0.9,0.0,0.0,,
be18d79f,641,Oliwier,Zych,,Zych,,2,Aston Villa,AVL,1,GKP,,4.0,0.2,,,,,,,,,,,,,
a0e00e23,261,Elkan,Baggott,,Baggott,,10,Ipswich,IPS,2,DEF,,4.0,0.0,,,,,,,,,,,,,
04eb7d82,118,Amario,Cozier-Duberry,,Cozier-Duberry,,5,Brighton,BHA,3,MID,,4.5,0.1,,,,,,,,,,,,,
49375cdd,647,Kaden,Rodney,,Rodney,,7,Crystal Palace,CRY,3,MID,,4.5,0.0,,,,,,,,,,,,,
,606,Will,Alves,,Alves,,11,Leicester,LEI,3,MID,,4.5,0.1,,,,,,,,,,,,,
67c5e0e8,292,Michael,Golding,,Golding,,11,Leicester,LEI,3,MID,,4.5,0.1,,,,,,,,,,,,,
,639,Tommy,Setford,,Setford,,1,Arsenal,ARS,1,GKP,,4.5,0.0,,,,,,,,,,,,,
,623,Mateus Gonçalo,Espanha Fernandes,,M.Fernandes,,17,Southampton,SOU,3,MID,,5.0,0.0,,,,,,,,,,,,,
,609,Will,Lankshear,,Lankshear,,18,Spurs,TOT,4,FWD,,4.5,1.4,,,,,,,,,,,,,
,580,Dean,Huijsen,,Huijsen,,3,Bournemouth,BOU,2,DEF,,4.5,0.1,,,,,,,,,,,,,
,637,Bastien,Meupiyou,,Meupiyou,,20,Wolves,WOL,2,DEF,,4.0,0.1,,,,,,,,,,,,,
0a4f579a,428,Eric,da Silva Moreira,,Da Silva Moreira,,16,Nott'm Forest,NFO,3,MID,,4.5,0.1,,,,,,,,,,,,,
f4065d9e,96,Kim,Ji-soo,,Ji-soo,,4,Brentford,BRE,2,DEF,,4.0,0.2,,,,,,,,,,,,,
a109e5c8,481,Lucas,Bergvall,,Bergvall,,18,Spurs,TOT,3,MID,,4.5,1.0,,,,,,,,3.0,0.4,0.15,0.51,,
e0eea46f,605,Martial,Godo,,Godo,,9,Fulham,FUL,3,MID,,4.5,0.0,,,,,,,,,,,,,
8e526344,644,Franco,Umeh-Chibueze,,Umeh-Chibueze,,7,Crystal Palace,CRY,3,MID,,4.5,0.0,,,,,,,,,,,,,
b7672d43,526,Luis Guilherme,Lira dos Santos,,L.Guilherme,,19,West Ham,WHU,3,MID,,4.9,0.0,,,,,,,,,,,,,
86109b3b,604,Josh,King,,King,,9,Fulham,FUL,3,MID,,4.5,0.1,,,,,,,,,,,,,
,574,Miodrag,Pivaš,,Pivas,,15,Newcastle,NEW,2,DEF,,4.0,0.1,,,,,,,,,,,,,
c70be9cf,50,Kosta,Nedeljković,,Nedeljkovic,,2,Aston Villa,AVL,2,DEF,,4.0,2.0,,,,,,,,3.0,1.1,0.0,0.0,,
,646,Asher,Agbinone,,Agbinone,,7,Crystal Palace,CRY,3,MID,,4.5,0.0,,,,,,,,,,,,,
732327ae,602,Ryan,Trevitt,,Trevitt,,4,Brentford,BRE,3,MID,,4.5,0.1,,,,,,,,,,,,,
,603,Harrison,Armstrong,,Armstrong,,8,Everton,EVE,3,MID,,4.5,0.2,,,,,,,,,,,,,
acdfe835,127,Ibrahim,Osman,,I.Osman,,5,Brighton,BHA,3,MID,,5.0,0.0,,,,,,,,,,,,,
,634,Gustavo,Nunes Fernandes Gomes,,G.Nunes,,4,Brentford,BRE,3,MID,,5.0,0.0,,,,,,,,,,,,,
e02b5b36,97,Yunus Emre,Konak,,Konak,,4,Brentford,BRE,3,MID,,4.5,0.1,,,,,,,,,,,,,
b2f4cad5,561,Pedro,Cardoso de Lima,,Pedro Lima,,20,Wolves,WOL,2,DEF,,4.0,1.6,,,,,,,,,,,,,
