Pos,ID,Name,BV,SV,Team,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,Elite%
D,506,Van de Ven,4.5,4.5,Spurs,89,2.08,84,2.21,81,2.98,80,2.48,80,2.65,78,3.43,79,1.25,78,9.26896525,0.02
M,71,Kluivert,5.4,5.4,Bournemouth,55,3.65,53,3.11,53,2.32,51,2.44,51,2.15,48,2.45,49,2.7,45,9.33388125,0
D,361,Rúben,5.5,5.5,Man City,75,2.91,72,3.54,67,3.3,63,3.52,60,2.72,59,2.47,60,2.53,59,9.4976405,0
M,239,Adama,5.1,5.1,Fulham,71,3.11,69,2.34,65,2.99,65,2.98,63,3.16,62,2.66,62,3.25,61,9.664310063,0
D,44,Konsa,4.5,4.5,Aston Villa,91,3.4,89,2.68,86,2.77,84,3.24,83,1.75,82,1.45,84,3.28,82,9.695207688,0.65
D,340,Akanji,5.5,5.5,Man City,77,2.97,72,3.55,68,3.41,63,3.51,60,2.75,61,2.55,63,2.62,62,9.725320375,0
D,267,Davis,4.5,4.5,Ipswich,87,2.74,84,2.51,80,3.48,80,2.32,77,3.39,78,1.43,77,2.28,78,9.774096687,0
F,252,Raúl,5.4,5.4,Fulham,65,3.17,59,2.33,56,3.01,57,2.96,54,3.13,52,2.6,54,3.29,53,9.782871625,0
D,369,Dalot,5,5,Man Utd,90,2.84,86,2.67,78,3.56,77,2.66,74,2.45,74,3.73,73,3.13,74,9.783743937,0
M,298,Mavididi,5.3,5.3,Leicester,69,2.39,64,3.35,57,2.97,53,2.82,54,2.72,53,2.24,55,2.63,53,9.828371937,0.02
D,498,Romero,5.1,5.1,Spurs,90,2.17,88,2.41,84,3.25,83,2.67,82,2.88,82,3.73,82,1.28,80,9.985848625,0
M,364,Amad,5,5,Man Utd,61,3.26,57,2.8,50,3.04,51,2.69,50,2.67,52,3.28,51,2.9,52,10.10894675,0
M,584,Brereton Díaz,5.3,5.3,Southampton,63,3.2,57,2.23,57,3.61,56,2.05,56,3.55,56,3.06,53,2.55,54,10.12136919,0.02
F,268,Delap,5.5,5.5,Ipswich,64,3.08,61,2.89,60,3.26,59,2.71,58,3.17,57,2.39,56,2.7,56,10.32857369,0
M,19,Smith Rowe,5.8,5.8,Fulham,73,3.31,68,2.44,66,3.16,66,3.13,64,3.31,64,2.82,62,3.44,62,10.34227913,0.23
D,162,Colwill,4.5,4.5,Chelsea,89,3.31,86,3.66,82,1.65,80,2.75,80,2.15,80,2.31,79,3.09,78,10.42216719,0.01
M,135,Minteh,5.5,5.5,Brighton,62,2.8,60,3.23,56,2.76,54,3.38,53,2.23,51,2.18,51,2.66,51,10.47477488,0.12
D,339,Virgil,6,6,Liverpool,91,3.96,88,3.62,86,3.09,84,2.15,83,3.48,83,3.42,81,3.55,82,10.55929206,0.01
M,240,Andreas,5.3,5.3,Fulham,76,3.31,75,2.53,74,3.42,73,3.32,72,3.71,71,3.04,68,3.77,68,10.74352631,0
D,144,Van Hecke,4.5,4.5,Brighton,91,1.9,87,2.25,85,1.96,83,3.56,83,1.4,83,1.8,81,2.52,80,10.74498956,0
M,571,Sávio,6.5,6.5,Man City,55,3.15,52,3.33,53,3.31,53,4.02,53,3.21,53,2.93,52,3.17,52,10.80104344,0
D,350,Gvardiol,5.9,5.9,Man City,84,3.48,81,4.39,73,3.95,66,4.08,65,3.18,65,2.91,64,2.99,65,10.86001894,0.09
M,230,McNeil,5.4,5.4,Everton,84,3.71,81,3.46,80,3.46,78,3.54,78,3.44,78,3.1,76,3.42,77,11.02911931,0.01
F,566,Strand Larsen,5.5,5.5,Wolves,72,2.93,69,3.2,65,2.33,63,2.65,65,3.14,64,3.58,66,2.76,62,11.26574337,0
G,235,Pickford,4.8,4.8,Everton,94,3.46,92,3.19,92,3.4,91,3.38,91,3.31,90,3.08,90,3.3,90,11.37724131,0
F,306,Vardy,5.7,5.7,Leicester,80,2.86,78,4.44,69,3.74,64,3.67,62,3.28,62,2.8,59,3.09,60,11.50649094,0.15
G,201,Henderson,4.5,4.5,Crystal Palace,94,3.43,93,2.97,92,3.37,92,3.09,90,3.35,90,3.46,90,3.04,91,11.69994756,0.6
F,617,Evanilson,5.9,5.9,Bournemouth,69,4.58,66,3.73,66,2.77,63,2.86,64,2.59,63,3.08,63,3.33,61,11.91527112,0.01
G,568,Muric,4.4,4.4,Ipswich,94,3.23,92,3.19,92,3.48,92,3.22,91,3.54,91,2.93,91,3.08,90,11.91558888,0
D,335,Robertson,6,6,Liverpool,84,4.44,79,3.98,77,3.48,77,2.43,75,3.89,75,3.85,74,4.04,75,11.94138406,0.25
G,443,Sels,4.5,4.5,Nott'm Forest,93,3.5,93,3.15,92,3.44,91,3.44,91,3.37,91,3.14,91,2.93,90,11.96753231,0
G,185,Sánchez,4.7,4.7,Chelsea,92,3.51,91,3.68,90,2.97,90,3.27,89,3.06,86,3.02,87,3.42,87,12.12008612,0
M,54,Rogers,5.2,5.1,Aston Villa,81,4.01,77,3.59,75,3.36,73,4.01,70,2.94,71,2.71,67,3.53,69,12.19012325,0.78
G,152,Arrizabalaga,4.5,4.5,Bournemouth,94,3.72,93,3.52,92,3.08,92,3.15,91,2.94,91,3.27,91,3.27,90,12.22172638,0
M,83,Tavernier,5.5,5.5,Bournemouth,78,4.48,77,3.84,74,2.85,73,2.99,72,2.64,71,3.18,73,3.44,72,12.24721763,0
M,78,Semenyo,5.6,5.6,Bournemouth,79,4.74,76,3.84,76,2.87,72,3,73,2.67,72,3.23,70,3.33,70,12.2571785,0.03
G,91,Flekken,4.5,4.5,Brentford,94,3.5,93,3.75,93,3.19,91,3.74,91,3.31,91,3.46,91,3.4,91,12.29178213,0.28
D,120,Dunk,4.6,4.5,Brighton,92,2.18,90,2.66,88,2.3,86,4.06,86,1.6,85,2.03,86,2.9,83,12.38222669,0.45
F,220,Calvert-Lewin,6,6,Everton,83,4.58,78,4.08,73,3.78,72,3.9,71,3.93,70,3.4,70,3.99,71,12.421804,0.13
G,146,Verbruggen,4.5,4.5,Brighton,92,3.19,92,3.19,90,3.13,89,3.69,88,2.88,89,2.96,87,3.24,86,12.53209475,0.04
D,311,Alexander-Arnold,7.1,7.1,Liverpool,84,4.76,81,4.29,78,3.8,77,2.57,76,4.25,76,4.14,75,4.37,74,12.58548475,0.78
M,327,Luis Díaz,8,8,Liverpool,69,4.32,65,3.76,64,3.94,64,2.72,64,4.01,64,3.94,62,4.15,62,12.67386763,0.01
D,18,Saliba,6,6,Arsenal,92,4.76,89,4.59,84,3.48,86,3,83,2.87,82,2.65,81,3.98,80,12.67966175,0.05
D,3,Gabriel,6.1,6.1,Arsenal,88,5.02,85,4.76,81,3.71,79,3.08,78,2.96,75,2.64,75,4.08,73,12.76313787,0.27
F,541,Cunha,6.5,6.5,Wolves,75,3.25,73,3.42,72,2.73,71,3.02,70,3.5,69,4.16,69,3.04,70,12.80634438,0
F,447,Wood,6.1,6.1,Nott'm Forest,83,4.46,81,3.58,79,4.22,76,3.85,76,4.11,74,4,74,2.73,73,13.15374731,0.07
D,495,Pedro Porro,5.6,5.5,Spurs,88,2.87,85,3.11,81,4.12,80,3.33,79,3.69,78,4.78,80,1.7,79,13.17231044,0.72
M,385,Rashford,6.9,6.9,Man Utd,63,3.92,65,3.68,61,4.3,59,3.57,58,3.66,59,4.47,59,3.82,58,13.21423625,0
G,347,Ederson M.,5.5,5.5,Man City,93,3.59,91,4.02,90,4,89,4.23,89,3.76,87,3.58,88,3.57,88,13.52628325,0.02
F,180,N.Jackson,7.7,7.7,Chelsea,68,4.21,66,4,66,3.04,64,4.12,65,3.33,61,2.86,60,3.71,59,13.61234737,0
G,15,Raya,5.6,5.6,Arsenal,71,3.37,93,4.39,93,3.9,92,3.58,92,3.57,91,3.45,91,4.19,91,14.41282875,0.1
F,129,João Pedro,5.6,5.5,Brighton,0,0,25,1.55,70,3.76,66,4.59,65,2.96,66,2.98,66,3.65,64,14.51519706,0.84
M,398,Gordon,7.3,7.3,Newcastle,88,3.45,84,4.22,81,4.31,80,3.49,79,3.25,78,3.94,78,4.53,78,14.55867731,0.09
F,4,Havertz,8.1,8.1,Arsenal,86,5.67,83,5.45,83,4.35,80,3.9,79,4.04,77,3.7,74,4.45,75,14.86860469,0.03
M,199,Eze,6.9,6.9,Crystal Palace,88,4.77,84,3.86,83,4.32,81,4.43,78,4.49,77,4.63,79,3.85,77,14.87763806,0.87
M,514,Bowen,7.5,7.5,West Ham,88,4.49,84,5.28,82,3.67,81,4.35,79,4,80,5.15,79,3.75,79,15.14908875,0
F,58,Watkins,9,9,Aston Villa,84,4.77,83,4.52,82,4.2,79,5.14,79,3.89,78,3.45,78,4.76,79,16.4236895,0.09
F,401,Isak,8.3,8.3,Newcastle,90,4.35,85,5.11,82,5.35,76,4.11,76,3.82,75,4.39,75,5.27,74,16.8625255,0.35
F,82,Solanke,7.5,7.5,Spurs,88,4.62,83,4.62,80,5.43,77,4.27,73,4.53,75,5.56,73,2.95,74,16.96663025,0.28
M,366,B.Fernandes,8.3,8.3,Man Utd,89,5.45,88,4.66,84,5.75,84,4.78,84,5.08,83,6.03,83,5.19,81,17.43265644,0.53
M,348,Foden,9.3,9.3,Man City,79,4.88,77,5.49,76,5.24,75,6.53,77,5.08,76,4.53,75,5.04,77,17.47701369,0
M,99,Mbeumo,7.2,7.2,Brentford,89,6.12,86,5.86,85,4.37,83,6.17,83,4.54,82,5.65,79,4.71,77,17.51832762,0.19
M,17,Saka,10,10,Arsenal,83,7.19,81,7.11,81,5.44,80,5.1,80,5.07,79,4.74,75,5.95,78,19.59706288,0.35
M,503,Son,10,10,Spurs,89,4.98,87,5.19,85,6.43,83,5.09,83,5.76,82,6.73,83,3.54,82,20.30869694,0.04
M,328,M.Salah,12.8,12.7,Liverpool,88,6.99,85,6.15,83,6.52,82,4.17,81,6.47,78,6.33,79,6.75,80,20.33570738,0.86
F,351,Haaland,15.3,15.1,Man City,90,6.47,85,7.35,81,6.57,80,8.46,77,5.79,78,5.29,76,6.17,76,21.04645181,0.74
M,182,Palmer,10.6,10.6,Chelsea,87,6.69,83,6.53,82,4.36,80,6.52,79,4.9,79,4.56,77,5.72,77,21.19033212,0.09
G,310,A.Becker,5.5,5.5,Liverpool,36,1.54,86,3.57,93,3.54,92,3.33,92,3.79,91,3.69,91,3.8,90,12.99011263,0.01
D,333,Quansah,4.1,4.1,Liverpool,20,0.86,28,1.17,30,1.14,30,0.9,31,1.34,30,1.27,32,1.4,33,4.496516563,0.13
G,521,Fabianski,4,4,West Ham,0,0,0,0,1,0.04,1,0.04,3,0.1,3,0.12,3,0.1,3,0.313850688,0.13
F,473,Stewart,4.5,4.5,Southampton,23,1.37,24,1.1,22,1.52,24,1.04,24,1.61,25,1.44,27,1.43,25,5.229568375,0.04
