Pos,ID,Name,BV,SV,Team,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,Elite%
G,227,J.Virginia,4,4,Everton,0,0,2,0.06,2,0.06,2,0.06,2,0.07,3,0.1,3,0.1,3,0.274929187,0.03
G,294,Iversen,4,4,Leicester,0,0,1,0.05,2,0.06,2,0.09,2,0.09,1,0.05,2,0.08,2,0.27927425,0.03
G,109,Valdimarsson,4,4,Brentford,1,0.05,2,0.08,2,0.08,4,0.15,4,0.14,4,0.14,4,0.16,4,0.589019688,0.41
D,461,Harwood-Bellis,4,4,Southampton,88,1.89,61,0.88,61,2.1,59,0.49,59,2,60,1.65,59,0.95,56,4.3579315,0.18
D,594,Mazraoui,4.6,4.6,Man Utd,84,2.92,67,2.37,32,1.54,32,1.32,34,1.37,34,1.81,35,1.67,34,5.621494312,0
D,236,Tarkowski,4.8,4.8,Everton,94,2.97,90,2.37,88,2.68,86,2.82,86,2.53,85,1.98,86,2.79,86,6.909726437,0
D,231,Mykolenko,4.3,4.3,Everton,90,3.01,86,2.42,82,2.75,79,2.8,78,2.5,79,2.05,79,2.76,80,7.043359313,0.04
M,608,Dibling,4.5,4.5,Southampton,45,2.22,42,1.66,42,2.45,43,1.61,41,2.41,39,2.08,41,1.87,41,7.051126625,0
D,630,O'Shea,4,4,Ipswich,80,2.06,77,1.91,76,2.65,74,1.78,70,2.51,71,0.99,69,1.65,72,7.368389125,0
M,314,Carvalho,4.8,4.8,Brentford,67,3.8,68,3.85,62,2.81,56,3.52,53,2.69,55,3.37,47,2.63,38,7.489113187,0
D,355,Lewis,4.7,4.7,Man City,44,1.96,43,2.36,44,2.38,43,2.65,39,1.99,40,1.9,41,2.02,41,7.573345375,0.09
D,191,Andersen,4.4,4.4,Fulham,89,2.75,87,1.17,87,2.73,86,2.82,84,3.07,84,2.41,81,3.33,81,7.602304562,0.01
M,309,Winks,4.5,4.5,Leicester,81,1.92,80,2.43,75,2.25,75,2.29,76,2.23,75,1.94,75,2.1,74,7.830288188,0.29
D,270,Greaves,4,4,Ipswich,90,2.21,86,2.06,86,2.9,82,1.93,80,2.8,80,1.03,80,1.87,79,7.862974562,0.04
D,291,Faes,4.1,4.1,Leicester,92,1.15,89,2.47,86,2.47,84,2.8,83,2.53,82,1.42,80,1.69,81,7.920391813,0.12
D,422,Aina,4.5,4.5,Nott'm Forest,77,3.02,76,1.79,74,2.84,72,2.6,72,2.69,70,2.19,69,1.31,70,7.946193625,0.01
D,436,Murillo,4.5,4.5,Nott'm Forest,91,3.13,86,1.77,85,2.93,82,2.66,82,2.76,82,2.24,82,1.3,81,7.950231,0
D,200,Guéhi,4.4,4.4,Crystal Palace,93,2.92,89,1.8,88,2.71,86,2.22,87,2.91,84,3.11,85,2.09,85,8.365441062,0.01
D,52,Pau,4.5,4.5,Aston Villa,87,3.25,82,2.54,78,2.55,77,3,74,1.57,74,1.32,71,2.77,72,8.609435187,0.01
D,104,Pinnock,4.5,4.5,Brentford,90,3.1,86,3.35,84,1.8,84,3.53,83,2.4,81,2.93,79,2.58,80,8.960454937,0.02
D,520,Emerson,4.4,4.4,West Ham,78,2.54,76,3.5,75,1.63,73,2.45,72,2.54,69,3.22,71,1.79,71,9.192537,0
