Pos,ID,Name,BV,SV,Team,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
F,1,Balogun,4.4,4.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,2,Cédric,3.8,3.8,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,3,M.Elneny,4.4,4.4,Arsenal,0,0.00,1,0.05,0,0.00,1,0.04,1,0.06,2,0.06,2,0.09,2,0.11,2,0.09,0.00
M,4,Fábio Vieira,5.4,5.4,Arsenal,10,0.52,15,1.06,14,0.80,14,0.84,14,0.83,14,0.77,14,0.93,14,1.67,16,1.00,0.00
D,5,Gabriel,5.3,5.1,Arsenal,91,2.23,87,4.85,84,3.37,81,3.66,81,3.74,81,2.72,77,3.80,77,6.31,75,3.90,0.25
M,6,Havertz,7.2,7.2,Arsenal,68,2.75,72,5.21,67,3.59,66,4.07,63,3.54,62,3.26,61,3.99,63,6.92,61,3.67,0.00
D,7,Holding,4.3,4.3,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,2,0.11,13,0.35,27,0.79,32,0.98,22,0.63,0.00
F,8,G.Jesus,7.8,7.8,Arsenal,35,1.64,43,3.39,50,2.85,54,3.48,61,3.53,66,3.65,65,4.40,64,7.26,66,4.01,0.00
M,9,Jorginho,5.3,5.3,Arsenal,60,1.76,38,1.61,36,1.34,33,1.32,34,1.33,34,1.24,34,1.39,33,2.48,33,1.34,0.00
D,10,Kiwior,4.4,4.4,Arsenal,52,1.41,39,2.13,31,1.31,20,0.86,24,1.10,24,0.88,23,1.15,27,2.24,28,1.43,0.00
M,11,Marquinhos,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,12,Martinelli,7.7,7.7,Arsenal,71,3.06,72,5.65,68,3.90,65,4.36,64,3.98,65,3.65,64,4.53,62,7.57,62,4.03,0.00
F,13,Nketiah,5.1,5.1,Arsenal,5,0.29,8,0.75,10,0.67,11,0.77,10,0.68,10,0.69,11,0.87,11,1.47,12,0.85,0.00
M,14,Ødegaard,8.5,8.5,Arsenal,88,3.38,85,6.13,83,4.36,82,5.00,81,4.51,82,4.19,79,5.11,80,8.79,79,4.79,0.00
M,15,Thomas,4.8,4.8,Arsenal,11,0.39,14,0.68,18,0.73,23,0.96,28,1.11,28,1.05,29,1.25,30,2.28,30,1.21,0.00
M,16,Pepe,4.9,4.9,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,17,Ramsdale,4.5,4.5,Arsenal,2,0.06,3,0.14,4,0.15,4,0.17,5,0.22,7,0.25,7,0.30,7,0.57,8,0.36,0.00
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,19,Saka,9.1,8.8,Arsenal,88,3.93,81,7.09,82,5.10,79,5.85,79,5.10,78,4.72,79,6.19,78,10.14,76,5.44,0.20
D,20,Saliba,5.8,5.5,Arsenal,92,2.12,88,4.59,86,3.25,83,3.51,82,3.58,82,2.57,81,3.74,81,6.20,81,3.94,0.07
M,21,Sambi,4.9,4.9,Luton,25,0.72,0,0.00,54,1.58,76,1.80,76,2.25,76,2.06,74,2.14,75,2.02,70,2.05,0.00
M,22,Smith Rowe,5.3,5.3,Arsenal,6,0.39,9,0.78,11,0.70,10,0.69,10,0.70,9,0.60,10,0.78,12,1.51,11,0.77,0.00
D,23,Tavares,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,24,Tierney,4.4,4.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,25,Tomiyasu,4.5,4.5,Arsenal,17,0.53,26,1.48,32,1.40,35,1.72,36,1.78,37,1.40,38,2.00,38,3.37,37,2.04,0.00
M,26,Trossard,6.5,6.5,Arsenal,44,2.09,46,3.78,44,2.71,44,3.12,42,2.72,39,2.39,40,2.99,41,5.28,41,2.86,0.00
D,27,Trusty,3.9,3.9,Sheffield Utd,66,1.47,66,0.40,65,1.21,64,1.35,65,3.08,65,0.90,65,1.89,72,1.47,61,0.99,0.00
G,28,Turner,3.9,3.9,Nott'm Forest,1,0.06,3,0.10,3,0.10,3,0.13,4,0.13,5,0.15,5,0.22,5,0.18,4,0.16,0.02
D,29,White,5.7,5.7,Arsenal,84,2.12,80,4.45,75,3.08,68,3.08,66,3.09,64,2.21,65,3.20,66,5.48,64,3.36,0.01
M,30,Xhaka,6.0,6.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,31,Zinchenko,5.0,5.0,Arsenal,17,0.61,24,1.48,31,1.47,38,2.01,38,2.03,37,1.55,36,2.05,37,3.55,38,2.21,0.00
D,32,Alex Moreno,5.2,5.2,Aston Villa,52,2.61,50,1.11,48,2.46,49,1.14,48,2.23,48,1.89,49,1.67,48,1.48,47,2.04,0.03
F,33,Archer,4.2,4.2,Sheffield Utd,19,0.96,29,1.15,33,1.52,37,1.70,37,3.56,37,1.63,38,1.90,36,1.55,37,1.72,0.01
M,34,Bailey,5.7,5.7,Aston Villa,82,4.84,80,2.79,70,4.38,69,2.61,67,4.09,67,3.50,67,3.22,67,3.15,65,3.38,0.49
M,35,Buendia,5.7,5.7,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,36,Cash,4.6,4.6,Aston Villa,40,1.88,43,0.86,42,2.01,45,0.93,43,1.84,44,1.58,43,1.37,42,1.18,42,1.71,0.06
D,37,Chambers,3.8,3.8,Aston Villa,14,0.53,18,0.31,11,0.42,13,0.23,13,0.45,15,0.43,15,0.39,15,0.35,15,0.51,0.00
M,38,Coutinho,5.8,5.8,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
