code,first_name,second_name,web_name,24-25
438098,Fábio,Ferreira Vieira,Fábio Vieira,1
205651,Gabriel,Fernando de Jesus,G.Jesus,2
226597,Gabriel,dos Santos Magalhães,Gabriel,3
219847,Kai,Havertz,Havertz,4
463748,Karl,Hein,Hein,5
445122,Jurriën,Timber,J.Timber,6
85955,Jorge Luiz,Frello Filho,Jorginho,7
440854,Jakub,Kiwior,Kiwior,8
444145,Gabriel,Martinelli Silva,Martinelli,9
200641,Reiss,Nelson,Nelson,10
205533,Eddie,Nketiah,Nketiah,11
499175,Ethan,Nwaneri,Nwaneri,12
184029,Martin,Ødegaard,Ødegaard,13
225321,Aaron,Ramsdale,Ramsdale,14
154561,David,Raya Martin,Raya,15
204480,Declan,Rice,Rice,16
223340,Bukayo,Saka,Saka,17
462424,William,Saliba,Saliba,18
209289,Emile,Smith Rowe,Smith Rowe,19
167199,Thomas,Partey,Thomas,20
192895,Kieran,Tierney,Tierney,21
223723,Tomiyasu,Takehiro,Tomiyasu,22
116216,Leandro,Trossard,Trossard,23
198869,Benjamin,White,White,24
206325,Oleksandr,Zinchenko,Zinchenko,25
106468,Álex,Moreno Lopera,Alex Moreno,26
433979,Cameron,Archer,Archer,27
215711,Leon,Bailey,Bailey,28
88894,Ross,Barkley,Barkley,29
491287,Enzo,Barrenechea,Barrenechea,30
195546,Emiliano,Buendía Stati,Buendia,31
199796,Matty,Cash,Cash,32
151589,Leander,Dendoncker,Dendoncker,33
243557,Moussa,Diaby,Diaby,34
165659,Diego Carlos,Santos Silva,Diego Carlos,35
101188,Lucas,Digne,Digne,36
461421,Lewis,Dobbin,Dobbin,37
476344,Jhon,Durán,Duran,38
462492,Joe,Gauci,Gauci,39
123354,Kortney,Hause,Hause,40
469247,Samuel,Iling-Junior,Iling Jr,41
226944,Boubacar,Kamara,Kamara,42
465390,Kaine,Kesler-Hayden,Kesler-Hayden,43
199798,Ezri,Konsa Ngoyo,Konsa,44
441302,Ian,Maatsen,Maatsen,45
462381,Filip,Marschall,Marschall,46
98980,Emiliano,Martínez Romero,Martinez,47
122806,John,McGinn,McGinn,48
149484,Tyrone,Mings,Mings,49
578545,Kosta,Nedeljković,Nedeljkovic,50
111782,Robin,Olsen,Olsen,51
244954,Pau,Torres,Pau,52
232653,Jacob,Ramsey,Ramsey,53
244850,Morgan,Rogers,Rogers,54
248164,Viljami,Sinisalo,Sinisalo,55
514315,Lino,da Cruz Sousa,Sousa,56
166989,Youri,Tielemans,Tielemans,57
178301,Ollie,Watkins,Watkins,58
232980,Max,Aarons,Aarons,59
200785,Tyler,Adams,Adams,60
444180,Jaidon,Anthony,Anthony,61
111317,David,Brooks,Brooks,62
158499,Ryan,Christie,Christie,63
155408,Lewis,Cook,Cook,64
168636,Enes,Ünal,Enes Ünal,65
441240,Romain,Faivre,Faivre,66
424044,Hamed,Traorè,H.Traorè,67
463981,James,Hill,Hill,68
523700,Daniel,Jebbison,Jebbison,69
544877,Milos,Kerkez,Kerkez,70
