code,first_name,second_name,web_name,fbref
37388,Marcin,Wasilewski,Wasilewski,24249219
37402,Christian,Fuchs,Fuchs,a67a09fb
37572,Sergio,Agüero,Agüero,4d034881
37605,Mesut,Özil,Özil,16380240
37614,Mario,Vrancic,Vrancic,16fa6881
37642,Jonny,Evans,Evans,f8fcd2a5
37742,Younes,Kaboul,Kaboul,3680d723
37748,Bacary,Sagna,Sagna,6ef56efd
37869,Ryan,Shawcross,Shawcross,285a3d44
37901,Dimitri,Payet,Payet,58ae47b2
37915,Hugo,Lloris,Lloris,8f62b6ee
37998,Bafétimbi,Gomis,Gomis,3d6686f9
38038,Ben,Hamer,Hamer,d822a850
38290,Danny,Rose,Rose,89d10e53
38411,Nacho,Monreal,Monreal,d4cb83cc
38419,Loïc,Remy,Remy,5c2da10f
38439,Etienne,Capoue,Capoue,5acc4a10
38454,Dejan,Lovren,Lovren,1a2935f6
38490,Beram,Kayal,Kayal,26679cdf
38499,Tomer,Hemed,Hemed,27d7453c
38533,Rui Pedro,dos Santos Patrício,Patrício,79b0d6a0
38580,Jose,Fonte,Fonte,90f87966
38588,Gaetano,Berardi,Berardi,5348aada
38716,Lee,Peltier,Peltier,af341b88
39104,Mousa,Dembélé,Dembélé,f7ee69fb
39155,Adam,Lallana,Lallana,99813635
39158,Scott,Arfield,Arfield,b1313ec4
39167,Andrea,Ranocchia,Ranocchia,539230cf
39187,Jeremain,Lens,Lens,6f1721f0
39194,Jan,Vertonghen,Vertonghen,ba23a904
39215,Michel,Vorm,Vorm,1bebde9d
39253,Jonas,Olsson,Olsson,48844a9b
39270,Marvin,Emnes,Emnes,a5900d91
39472,Dieumerci,Mbokani,Mbokani,d9847696
39476,Sokratis,Papastathopoulos,Sokratis,b682dcf6
39487,Erik,Pieters,Pieters,1ef37668
39725,Anders,Lindegaard,Lindegaard,636f1a28
39790,Francisco,Casilla Cortés,Casilla,58bc7d18
39847,Steven,Defour,Defour,73489527
40002,Matteo,Darmian,Darmian,96e0490d
40142,Andy,Carroll,Carroll,b581987a
40145,Jack,Cork,Cork,74e12f1e
40146,Ryan,Bertrand,Bertrand,01226327
40202,George,Friend,Friend,4f97147d
40232,Gonzalo,Higuaín,Higuaín,8a08491a
40276,Bojan,Krkic Perez,Bojan,9fa0a0b8
40346,Erwin,Mulder,Mulder,b3576b7c
40349,Asmir,Begović,Begović,7b4de647
40383,Fraser,Forster,Forster,c3e39f12
40386,Chris,Basham,Basham,1aa84968
40387,Dan,Gosling,Gosling,7fec31a0
40399,Sam,Vokes,Vokes,1d6ac165
40451,Anthony,Pilkington,Pilkington,b31af577
40555,Joe,Allen,Allen,9feb8f24
40559,Fabricio,Agosto Ramírez,Fabri,af245161
40564,Henri,Lansbury,Lansbury,fe8e6fa1
40616,Stephen,Ward,Ward,3831b9fe
40669,Angelo,Ogbonna,Ogbonna,74b2cd7e
40694,Roberto,Jimenez Gago,Roberto,ba3ca78f
40720,Edinson,Cavani,Cavani,527f063d
40725,Danny,Simpson,Simpson,3201b03d
40755,Daniel,Sturridge,Sturridge,1b7ec703
40772,Gökhan,Inler,Inler,3200c583
40784,Mamadou,Sakho,Sakho,87935cf3
40833,Jérémy,Pied,Pied,a634b9d2
40836,Vicente,Guaita,Guaita,ab13a5aa
40845,Dale,Stephens,Stephens,653ee42d
40868,José,Holebas,Holebas,12aa7661
41135,Branislav,Ivanovic,Ivanovic,85f8571a
41184,Marouane,Fellaini,Fellaini,87575fd9
41251,Eduardo,dos Reis Carvalho,Eduardo,81b906e7
41270,David,Luiz Moreira Marinho,David Luiz,c0e27d1a
41320,Charlie,Daniels,Daniels,9d107085
41321,Yohan,Benalouane,Benalouane,8309b068
41328,César,Azpilicueta,Azpilicueta,53cad200
41338,Craig,Cathcart,Cathcart,89e4b358
41464,Marko,Arnautovic,Arnautovic,00459419
41674,Kevin,Long,Long,5a4280b1
41705,Bradley,Guzan,Guzan,d899e3bf
41725,Troy,Deeney,Deeney,82e34b69
41727,Ryan,Bennett,Bennett,0bad4516
41733,Georginio,Wijnaldum,Wijnaldum,eb58eef0
41792,Aaron,Ramsey,Ramsey,ef619b0b
41823,Fabian,Delph,Delph,111c3236
41926,Almen,Abdi,Abdi,8d425d84
41945,Sebastian,Prödl,Prödl,f5e6d08d
42427,Kieran,Gibbs,Gibbs,46ee5234
42493,Mario,Balotelli,Balotelli,8ff07990
42525,Stephen,Henderson,Henderson,f234c188
42564,Eric Maxim,Choupo-Moting,Choupo-Moting,0e6bc38c
42583,Sébastien,Pocognoli,Pocognoli,cc41eec1
42593,Aleksandar,Kolarov,Kolarov,eda40760
42727,Yoan,Gouffran,Gouffran,a28d181a
42738,Juan,Zuñiga,Zuñiga,06b34f37
42748,Gaëtan,Bong,Bong,cfd5e123
42774,Morgan,Schneiderlin,Schneiderlin,51b41c5c
42786,Eden,Hazard,Hazard,a39bb753
42824,Carlos,Sánchez,Carlos Sánchez,50b51fac
42892,Álvaro,Negredo,Negredo,63b0ca6b
42899,Sergio,Romero,Romero,1e26e376
42996,Angel,Rangel,Rangel,93ee387c
43020,Javier,Hernández Balcázar,Chicharito,189cee7b
43191,Leiva,Lucas,Lucas,4c78b5ed
43250,Tom,Cleverley,Cleverley,6cdd8245
43252,James,Chester,Chester,a772eba6
43521,Henri,Saivet,Saivet,f3709655
43626,Håvard,Nordtveit,Nordtveit,6cafd68d
43670,Juan,Mata,Mata,29733c72
43693,Martín,Cáceres,Cáceres,e94d79e3
43808,Markus,Suttner,Suttner,7391c2d9
44302,Adlène,Guédioura,Guédioura,f75825e3
44336,Sofiane,Feghouli,Feghouli,691f64f5
44343,Bakary,Sako,Sako,381d7d54
44346,Olivier,Giroud,Giroud,16ceb862
44413,Steve,Mandanda,Mandanda,1d2d5cc8
44604,Nordin,Amrabat,Amrabat,7c2a398c
44683,Jay,Rodriguez,Rodriguez,4ab53cdb
44699,Ashley,Barnes,Barnes,2691c772
45034,Ivan,Perišić,Perišić,6fe90922
45076,Lamine,Koné,Koné,a46472d0
45124,André,Ayew,A.Ayew,5dbefa9d
45196,Gary,Madine,Madine,e3e6502a
45220,Alex,Smithies,Smithies,bb91617c
45268,Moussa,Sissoko,Sissoko,2acd49b9
46483,Adrien,Silva,Silva,d6f88a1d
46695,Ritchie,de Laet,de Laet,dc234f98
47247,John,Fleck,Fleck,b63e789d
47390,Neil,Taylor,Taylor,c2f9d19f
47431,Willian,Borges da Silva,Willian,8b9ebd03
48332,Orestis,Karnezis,Karnezis,85b011bb
48615,Harry,Arter,Arter,2f4c5a52
48717,Winston,Reid,Reid,562eed5c
48760,Mathias,Jorgensen,Zanka,0db5d2c8
48771,Emilio,Nsue Lopez,Nsue,1c9bc4fa
48773,Siem,de Jong,de Jong,cf2a6ace
48844,David,Ospina,Ospina,82b1198a
48860,Niki,Mäenpää,Mäenpää,14a96e1c
49013,Victor,Moses,Moses,e726e11e
49083,Luke,Freeman,Freeman,636b64cd
49195,Jefferson,Montero,Montero,fa6561bf
49202,Sean,Scannell,Scannell,7ab42a5e
49207,Rudy,Gestede,Gestede,822b3ef9
49262,Jason,Steele,Steele,28300a16
49277,Leroy,Fer,Fer,3cefa66a
49382,Bruno,Ecuele Manga,Ecuele Manga,72a0fb65
49384,Jack,Rodwell,Rodwell,a07579ee
49413,James,Tomkins,Tomkins,e7ca0439
49438,Jordon,Mutch,Mutch,37c408cc
49440,Hal,Robson-Kanu,Robson-Kanu,fb2dec57
49464,Cristhian,Stuani,Stuani,220c11f1
49539,Kyle,Naughton,Naughton,e860c42f
49579,Pedro,Rodríguez Ledesma,Pedro,3ca7254a
49688,Alfred,N'Diaye,N'Diaye,7789bf63
49696,Mauro,Zárate,Zárate,cc18ff4c
49773,Albert,Adomah,Adomah,c7174e81
49806,David Junior,Hoilett,Hoilett,33af5b9e
49845,Aron,Gunnarsson,Gunnarsson,e2533c20
49944,Jake,Livermore,Livermore,b98570d1
49957,Kamil,Grosicki,Grosicki,81d8091f
49982,Sean,Morrison,Morrison,09fec029
50089,Geoff,Cameron,Cameron,1a160ea3
50093,David,Button,Button,e608ed4c
50175,Danny,Welbeck,Welbeck,ce5143da
50229,Matt,Phillips,Phillips,7bb5f40e
50232,Jonjo,Shelvey,Shelvey,3727dd3c
50471,James,McArthur,McArthur,cee31595
50472,James,McCarthy,McCarthy,64b08de7
51090,Thiago,Emiliano da Silva,Thiago Silva,86e7deaf
51344,Rajiv,van La Parra,van La Parra,1931bde9
51507,Laurent,Koscielny,Koscielny,f5efb153
51917,Diego,Cavalieri,Cavalieri,84e6ea11
51927,Ben,Mee,Mee,8df7a2fb
51934,Ron-Robert,Zieler,Zieler,a0606ae8
51938,Marc,Albrighton,Albrighton,b827d5b3
51940,David,De Gea Quintana,De Gea,7ba6d84e
52153,Miguel,Britos,Britos,356a9a62
52287,Evandro,Goebel,Evandro,67dbadfc
52484,Leon,Balogun,Balogun,78e68b4d
52538,Fernando Francisco,Reges,Fernando,41f32541
52775,Nicolas,Nkoulou,Nkoulou,93cf32a8
52940,Daryl,Janmaat,Janmaat,45da6694
53371,David,Meyler,Meyler,8ea6417a
54102,Jack,Wilshere,Wilshere,9c318325
54284,Chris,Löwe,Löwe,c6896eab
54316,Leonardo,Ulloa,Ulloa,eed56f6c
54421,Floyd,Ayité,Ayité,fd5888a0
54469,Adam,Smith,Smith,20b104bc
54484,Francisco,Femenía Far,Femenía,e5d01ecf
54513,Vicente,Iborra,Iborra,ad1ffcfd
54527,Loïc,Damour,Damour,074d8166
54694,Pierre-Emerick,Aubameyang,Aubameyang,d5dd5f1f
54738,Thomas,Kaminski,Kaminski,1caa93a5
54756,Victor,Wanyama,Wanyama,e0900238
54764,Jonathan,Kodjia,Kodjia,ecf44e09
54771,Fabio Pereira,da Silva,Fabio,bc7b4580
54861,Christian,Benteke,Benteke,ab070c55
54908,Nacer,Chadli,Chadli,5b54bf3b
55037,Cheikhou,Kouyaté,Kouyaté,8d3c902d
55038,Kevin,McDonald,McDonald,71a08f97
55313,Franck,Tabanou,Tabanou,15e1afd5
55317,Bernardo,Espinosa Zúñiga,Bernardo,4242011c
55422,Gylfi,Sigurdsson,Sigurdsson,76dd1480
55452,Yannick,Bolasie,Bolasie,715fc0fe
55459,Aaron,Cresswell,Cresswell,4f974391
55494,Joel,Ward,Ward,8a7ff278
55605,Toby,Alderweireld,Alderweireld,f7d50789
55829,Claudio,Yacob,Yacob,bda6ffd4
55909,Chris,Smalling,Smalling,b6964eb6
55914,Liam,Cooper,Cooper,dc64b8b3
56192,Rhu-endly,Martina,Cuco Martina,22551915
56377,Andriy,Yarmolenko,Yarmolenko,849c826a
56827,Costel,Pantilimon,Pantilimon,d24e154c
56864,Francis,Coquelin,Coquelin,a6951bf8
56872,Junior,Stanislas,Stanislas,6992791d
56917,Steve,Cook,Cook,3e5e4e63
56979,Jordan,Henderson,Henderson,935e6b8f
56981,Joe,Bennett,Bennett,dc936144
56983,Matt,Ritchie,Ritchie,71ef519e
57001,Wilfried,Bony,Bony,61abe9b6
57112,Eliaquim,Mangala,Mangala,f520049f
57127,Teemu,Pukki,Pukki,0745b37d
57134,Salomón,Rondón,Rondón,b318a643
57145,Federico,Fernández,Fernández,f25b010f
57187,Giedrius,Arlauskis,Arlauskis,1858bbf7
57249,Henrikh,Mkhitaryan,Mkhitaryan,dd0daf32
57328,Nathaniel,Clyne,Clyne,0442183b
57410,Nicolás,Otamendi,Otamendi,0d267745
57513,Jonas,Lössl,Lössl,939bc634
57531,Michail,Antonio,Antonio,ac05f970
57586,Luciano,Narsingh,Narsingh,977ffc24
57647,Lyle,Taylor,Lyle Taylor,3e80e04e
57736,Jan,Kirchhoff,Kirchhoff,a14d04e3
57913,Barry,Douglas,Douglas,c859705e
58376,Alex,McCarthy,McCarthy,36c2ca73
58476,Rui Pedro,da Rocha Fonte,Fonte,6ff8ef56
58498,Odion,Ighalo,Ighalo,03622183
58621,Kyle,Walker,Walker,86dd77d1
58771,Jack,Colback,Colback,963a9201
58786,Martin,Kelly,Kelly,d7492450
58791,Ryan,Mason,Mason,c8fac933
58822,Cédric,Alves Soares,Cédric,839c14e1
58845,Ciaran,Clark,Clark,2b91cf8e
58877,Daley,Blind,Blind,691bef82
58893,Marcos,Rojo,Rojo,e0991c04
59044,Adam,Clayton,Clayton,45b59689
59115,Mile,Jedinak,Jedinak,22fd2214
59125,Connor,Wickham,Wickham,41cc19c2
59614,Mark,Duffy,Duffy,d86ccbc9
59735,Karl,Darlow,Darlow,cde3309f
59741,Max,Gradel,Gradel,c5a500ca
59779,Pedro,Obiang,Obiang,ba1e04b3
59796,Gökhan,Töre,Töre,51960957
59846,Ander,Herrera,Herrera,436a9dd0
59856,Abel,Hernández,Hernández,a36da810
59859,Ilkay,Gündogan,Gündogan,819b3158
59940,Kyle,Bartley,Bartley,18e96f64
59949,Seamus,Coleman,Coleman,0420d84f
59966,Alexandre,Lacazette,Lacazette,9dbb75ca
60025,James,Rodríguez,James,715bf047
60165,Wahbi,Khazri,Khazri,2677a1de
60232,Craig,Dawson,Dawson,3e9e06cb
60252,Andros,Townsend,Townsend,b28bbd58
60270,Simone,Zaza,Zaza,9592289a
60307,Pascal,Groß,Groß,8aec0537
60551,Ashley,Westwood,Westwood,495945ef
60586,Johann Berg,Gudmundsson,Gudmundsson,f72293fc
60598,Aleksandar,Dragovic,Dragovic,6fd8a334
60689,Chris,Wood,Wood,4e9a0555
60706,Adrián,San Miguel del Castillo,Adrián,f76e6b4e
60772,Thibaut,Courtois,Courtois,1840e36d
60794,Adam,Matthews,Matthews,d8bffa70
60914,Joel,Matip,Matip,b217ef29
61256,Carlos Henrique,Casimiro,Casemiro,4d224fe8
61262,Oscar,dos Santos Emboaba Junior,Oscar,57fe98dd
61302,Ryan,Allsop,Allsop,af615123
61316,Jose Luis,Mato Sanmartín,Joselu,6265208f
61366,Kevin,De Bruyne,De Bruyne,e46012d4
61538,Callum,McManaman,McManaman,1a5dbcc2
61548,Manolo,Gabbiadini,Gabbiadini,8f866fe8
61558,Thiago,Alcántara do Nascimento,Thiago,77e84962
61566,Roberto,Pereyra,Pereyra,75f2c59f
61595,Marc,Muniesa,Muniesa,4db76f57
61600,Romaine,Sawyers,Sawyers,77bb1522
61603,Daniel,Drinkwater,Drinkwater,2649ff32
61604,Matty,James,James,ebd0a048
61739,Maxime,Le Marchand,Le Marchand,321a71a7
61760,Kristoffer,Nordfeldt,Nordfeldt,78549904
61810,Pontus,Jansson,Jansson,172e52d8
61858,Mame Biram,Diouf,Diouf,7f4f3e49
61916,Stefan,Johansen,Johansen,a48da055
61933,Shane,Duffy,Duffy,7314bba4
62398,Nemanja,Matic,Matic,eb7822d7
62399,Dusan,Tadic,Tadic,2475dcc6
62974,Erik,Lamela,Lamela,abe66106
63370,James,McClean,McClean,53538b39
63426,Enda,Stevens,Stevens,17d4507a
66242,Davy,Pröpper,Pröpper,fdd85f94
66247,Marvin,Zeegelaar,Zeegelaar,8abd0c03
66588,Luke,Ayling,Ayling,420d7c7d
66733,Juan,Cuadrado,Cuadrado,0ab1f153
66749,Romelu,Lukaku,Lukaku,5eae500a
66797,Simon,Mignolet,Mignolet,d436eb94
66838,Cenk,Tosun,Tosun,9a104dee
66842,André,Schürrle,Schürrle,ecbb3fdf
66975,Luka,Milivojevic,Milivojevic,2ce2508a
67089,Martin,Dubravka,Dubravka,3a949a25
67184,Roderick Jefferson,Gonçalves Miranda,Miranda,390ab439
67527,Allan-Roméo,Nyom,Nyom,97572117
68312,Xherdan,Shaqiri,Shaqiri,6421ec64
68983,Matthew,Lowton,Lowton,9a9c05db
69140,Shkodran,Mustafi,Mustafi,3f2d59fe
69143,Juraj,Kucka,Kucka,5aaef9ef
69752,Norberto,Murara Neto,Neto,a9dc785c
69960,Philipp,Wollscheid,Wollscheid,c4cca587
71738,Marco,Stiepermann,Stiepermann,b606638c
72222,Mateusz,Klich,Klich,282679b4
72681,Denis,Odoi,Odoi,f7750aa0
73314,Willian José,Da Silva,Willian José,d87e2cae
73426,Andre,Gray,Gray,c24dba2a
73459,Ashley Darel Jazz,Richards,Jazz Richards,afef14da
73494,Grzegorz,Krychowiak,Krychowiak,580d52dd
73889,Diafra,Sakho,Sakho,57c433c8
74033,Sam,Clucas,Clucas,987718f5
74208,Paul,Pogba,Pogba,867239d3
74230,Patrick,van Aanholt,van Aanholt,5f09991f
74297,Leandro,Bacuna,Bacuna,9dc69d38
74375,Ezequiel,Schelotto,Schelotto,a6e316c1
74471,Aaron,Mooy,Mooy,47b7e3af
74854,Simon,Moore,Moore,e7434f04
74944,Sam,Morsy,Morsy,a23c0949
75115,Callum,Wilson,Wilson,c596fcb0
75773,Chung-yong,Lee,Lee Chung-yong,49b05a83
75826,Danny,Ward,Ward,cfb29823
75880,Daniel,Ayala,Ayala,302560a0
76306,Lukas,Rupp,Rupp,3faa1780
76357,Tom,Cairney,Cairney,a8748947
76359,Phil,Jones,Jones,def899bd
76360,Nathaniel,Mendez-Laing,Mendez-Laing,b4b2f632
76542,Sung-yueng,Ki,Ki Sung-yueng,1d8c99b0
77359,Florian,Lejeune,Lejeune,6eaed4eb
77454,Fabio,Borini,Borini,ef5b337e
77610,Danny,Batth,Batth,f1d0fa63
77760,Cristian,Gamboa,Gamboa,f27680d9
77762,Bryan,Oviedo,Oviedo,31faf295
77777,Ahmed El-Sayed,Hegazy,Hegazi,5540c9dc
77794,Kieran,Trippier,Trippier,21512407
77818,James,Shea,Shea,ee7c0a5e
78007,Joshua,King,King,43458538
78056,Oriol,Romeu Vidal,Romeu,4b511457
78091,Gastón,Ramírez,Ramírez,2c851997
78315,Joel,Robles,Robles,cda0b317
78356,Charlie,Austin,Austin,8d228291
78412,Shinji,Okazaki,Okazaki,68796d61
78607,Kenny,McLean,McLean,471f16b3
78830,Harry,Kane,Kane,21a66f6a
78911,Kadeem,Harris,Harris,24396398
78916,Dan,Burn,Burn,b2d31e83
79228,Pape,Souaré,Souaré,46b5375e
79602,Daniel,Bentley,Bentley,68db6358
79619,Jonathan,Hogg,Hogg,9306d5ea
79733,Scott,Malone,Malone,f15a50e8
79852,Jed,Steer,Steer,a8a3d139
79934,Oliver,Norwood,Norwood,43439614
80146,Jordan,Ayew,J.Ayew,da052c14
80179,Adam,Forshaw,Forshaw,9f1938ab
80183,Luke,Garbutt,Garbutt,41017ad5
80201,Bernd,Leno,Leno,2628fd2b
80226,Serge,Aurier,Aurier,5c2b4f07
80254,Carl,Jenkinson,Jenkinson,874125a3
80447,Maya,Yoshida,Yoshida,caffaf5a
80498,Eunan,O'Kane,O'Kane,b7f8b1fc
80607,Christian,Eriksen,Eriksen,980522ec
80711,Yaya,Sanogo,Sanogo,11ced928
80755,Danny,Williams,Williams,ec9a28ce
80788,Daniel,Lafferty,Lafferty,cfc41f7a
80789,Jordi,Amat,Amat,d70a2141
80792,Greg,Cunninghamm,Cunningham,dc10b26c
