Fbref,Player,Age,Seasons_count,MP,Starts,Min,90s,npxG,xAG,finishing
0000acda,Marco Benassi,27,2,35,16,1631,18.1,0.09,0.05,0.96
0006e160,Bruno Onyemaechi,24,2,53,52,4496,50.0,0.06,0.11,0.97
00242715,Moussa Niakhate,27,3,65,58,5190,57.6,0.06,0.01,0.98
00242b75,Leandro Barreiro Martins,23,3,93,74,6536,72.7,0.12,0.05,0.97
00321ac5,Jari Vlak,23,1,31,18,1685,18.7,0.02,0.02,1.0
0032d3ad,Sylla Sow,26,2,57,8,1645,18.3,0.21,0.04,1.01
003cf4d1,Jayden Danns,17,1,2,0,9,0.1,0.0,0.0,1.0
003db40b,Georgie Kelly,26,2,47,4,1020,11.3,0.17,0.04,1.01
00459419,Marko Arnautović,34,3,81,55,5025,55.8,0.31,0.13,1.02
004d185e,Tete Morente,25,2,64,41,3700,41.1,0.13,0.05,1.0
00521598,Callum Wright,23,2,31,13,1232,13.7,0.07,0.03,0.97
0057a058,Moises Castillo,21,2,22,16,1596,17.7,0.04,0.04,0.99
00638016,Léo Pétrot,24,1,22,21,1815,20.2,0.02,0.0,1.01
00672803,Lasse Günther,18,1,5,1,161,1.8,0.03,0.02,1.0
006d23cd,Barry Lauwers,23,2,2,2,180,2.0,0.0,0.0,1.0
007414dd,Samuel Edozie,20,2,49,21,1931,21.5,0.1,0.08,1.04
0076ab7f,Nemanja Gudelj,31,3,77,60,5567,61.9,0.04,0.01,1.02
007b39a5,Onel Hernández,30,3,108,62,5701,63.3,0.07,0.08,0.94
007faf7a,Lucas Da Cunha,20,1,25,16,1229,13.700000000000001,0.14,0.11,0.99
0086c968,Patrick Joosten,26,2,26,15,1326,14.7,0.06,0.1,1.01
00891164,Cédric Hountondji,28,2,59,58,5129,57.0,0.02,0.01,0.99
008f854b,Morgan Fox,29,3,70,57,5121,57.0,0.02,0.02,0.98
00953a9d,Mikey Moore,15,1,2,0,4,0.0,,,1.0
00963611,Konstantinos Mavropanos,25,3,78,73,6491,72.2,0.09,0.02,0.99
009a4f60,Julian Ryerson,25,3,79,62,5643,62.7,0.05,0.08,1.05
00a17eba,Samuele Perisan,25,2,8,8,720,8.0,0.0,0.0,1.0
00a2c297,Pedro Álvaro,23,2,50,49,4364,48.5,0.03,0.04,0.99
00a8d210,Przemysław Frankowski,28,3,104,83,7473,83.1,0.06,0.13,1.06
00b28772,Nemanja Maksimović,28,3,101,97,8254,91.7,0.09,0.02,0.92
00b77ecf,Nathan Fraser,18,1,7,1,186,2.1,0.16,0.04,0.99
00c9a283,Hugo Larsson,19,1,29,21,1886,21.0,0.04,0.05,1.01
00d19548,Pedro Trigueira,33,1,29,29,2597,28.9,0.0,0.0,1.0
00d4e7b3,Ofir Marciano,31,1,12,12,1080,12.0,0.0,0.0,1.0
00dad262,Pedro Amador,24,2,41,27,2330,25.9,0.03,0.09,0.98
00e36323,Florian Pick,27,1,22,1,327,3.6,0.06,0.16,0.99
00e79138,Naoki Maeda,27,2,12,4,275,3.0,0.11,0.02,0.99
00eba9c9,Selim Amallah,26,2,27,10,871,9.7,0.07,0.04,1.01
00f0482f,Shola Shoretire,17,1,1,0,16,0.2,0.0,0.0,1.0
00f48ee7,Uladzislaŭ Marozaŭ,22,1,3,2,144,1.6,0.1,0.01,1.0
00f518d8,Faride Alidou,22,2,41,14,1464,16.2,0.15,0.04,1.02
0107757e,Filip Jørgensen,21,2,38,38,3420,38.0,0.0,0.0,1.0
01086c66,Josh Ruffels,29,3,52,40,3531,39.2,0.02,0.02,1.02
011890d9,Alfie Chang,19,1,13,7,693,7.7,0.02,0.0,1.0
0118c54c,Anthony Caci,26,3,99,78,6914,76.80000000000001,0.03,0.08,1.03
0118dd71,Ben Wilson,30,3,66,66,5940,66.0,0.01,0.0,1.0
011b2a32,Trévis Dago,18,1,4,0,23,0.3,0.12,1.22,1.0
01226327,Ryan Bertrand,31,1,4,4,337,3.7,0.0,0.0,1.0
0127419a,Ianis Hagi,24,1,22,8,804,8.9,0.16,0.16,0.96
012c975a,Rhys Williams,21,2,22,17,1452,16.1,0.02,0.0,0.99
014aa7bd,Álvaro Aguado,26,1,34,18,1888,21.0,0.04,0.08,1.0
0154d290,Felix Afena-Gyan,19,2,40,13,1485,16.5,0.16,0.04,0.97
0166a73e,Álvaro Vallés,26,1,37,37,3263,36.3,0.0,0.0,1.0
016ff750,Valentino Lazaro,27,3,76,46,4395,48.9,0.05,0.11,0.95
017018d1,Fabian Holland,33,1,23,23,1835,20.4,0.02,0.05,0.99
