Fbref,Player,Age,Seasons_count,MP,Starts,Min,90s,npxG,xAG,finishing
01716c85,Cameron Pring,25,3,106,91,8117,90.19999999999999,0.02,0.04,0.98
0174ba21,Robin Hack,24,2,59,27,2712,30.2,0.17,0.11,1.07
01753a47,Oliver Turton,30,3,61,43,3948,43.8,0.02,0.02,0.97
017b4247,Álex Vallejo,29,1,5,2,151,1.7,0.01,0.03,1.02
01834aa0,Sebastiaan Bornauw,24,3,73,62,5366,59.6,0.03,0.01,0.99
01870104,Mohamed Lamine Bayo,25,3,81,49,4453,49.400000000000006,0.32,0.11,0.98
01962d0d,Joe Gelhardt,21,3,63,24,2353,26.200000000000003,0.23,0.11,0.94
01a49bd2,Lisandro Magallán,28,1,16,11,924,10.2,0.05,0.01,0.99
01b8a2b2,Wojciech Szczęsny,33,3,96,96,8592,95.5,0.0,0.0,1.0
01bb93d5,Nicolás Paz,18,1,4,0,23,0.3,0.23,0.0,1.0
01becd60,Alan Virginius,20,2,31,14,1263,14.100000000000001,0.2,0.09,0.94
01c3aff5,Weston McKennie,24,3,89,73,6452,71.7,0.07,0.07,0.95
01ca961e,Benaissa Benamar,26,3,62,52,4418,49.0,0.04,0.01,1.04
01ce9e70,Kieffer Moore,30,3,79,41,4120,45.8,0.32,0.05,1.03
01da7812,Myrto Uzuni,28,2,49,37,3304,36.7,0.22,0.07,0.97
01e5f06e,Sergio Gómez,22,2,18,2,402,4.5,0.15,0.3,0.99
01eb744d,Ángel Correa,28,3,103,48,4839,53.8,0.31,0.16,1.1
01efac19,Antonín Barák,28,3,81,56,4972,55.3,0.12,0.1,1.02
01f86799,Joshua Austerfield,21,1,3,1,70,0.8,0.0,0.03,1.0
01fd01e8,Souleymane Touré,20,2,48,41,3707,41.2,0.06,0.01,0.98
022c1bf7,Gui Guedes,19,1,5,0,62,0.7,0.05,0.0,1.0
02319ad7,Jaime Mata,34,3,75,31,2896,32.3,0.21,0.08,0.97
023937a9,Ivan Radovanović,33,2,24,19,1724,19.2,0.04,0.04,1.0
0248e806,Dean Bouzanis,31,1,5,4,419,4.7,0.0,0.0,1.0
025190a5,Siebe Horemans,25,2,68,67,5943,66.0,0.03,0.05,1.03
0256640c,Gonçalo Nogueira,19,2,3,0,23,0.30000000000000004,0.0,0.0,1.0
026fd257,Jose Souza,22,1,2,0,9,0.1,0.0,0.0,1.0
02760e49,Michel Vlap,26,3,95,82,6618,73.6,0.12,0.08,0.89
028e70b9,Joshua Zirkzee,22,2,53,37,3581,39.8,0.19,0.13,1.01
02a5618e,Fran Navarro,25,3,72,65,5806,64.5,0.47,0.05,0.99
02b29014,Abdoulaye Doucouré,30,3,87,78,6699,74.4,0.22,0.1,1.01
02b3733e,Lucas Mincarelli,19,1,13,12,978,10.9,0.02,0.04,1.01
02b952ce,Aapo Halme,23,1,5,2,204,2.3,0.04,0.01,1.0
02bcaf8e,Bilal Brahimi,23,3,66,11,1748,19.5,0.08,0.14,1.01
02c15616,Marcos Llorente,28,3,88,79,6715,74.6,0.08,0.13,1.0
02caf6e0,Manuel Lazzari,29,3,83,57,5215,58.0,0.03,0.05,1.02
02d2c436,Luis Hernández,34,3,60,58,5238,58.2,0.03,0.02,0.99
02edb152,Jonathan Monroy,20,1,13,8,669,7.4,0.21,0.03,0.99
02ee4c77,Bjørn Johnsen,30,1,13,10,876,9.7,0.24,0.03,0.95
02ef8778,Raúl de Tomás,28,3,78,57,4991,55.4,0.21,0.05,0.97
0302f7b4,Jastin García,19,1,3,0,32,0.4,0.0,0.0,1.0
03049c8c,Keidi Bare,24,2,43,22,1984,22.1,0.04,0.03,1.0
030ef8d6,Jofre,20,1,3,0,20,0.2,0.0,1.51,1.0
0313a347,Ezri Konsa,25,3,102,101,8868,98.5,0.05,0.02,0.96
032f894e,Renato Sanches,25,3,55,27,2514,27.900000000000002,0.07,0.14,1.05
035db54d,Hernán De La Fuente,25,2,26,14,1463,16.3,0.11,0.07,0.97
036bba5f,Rubén Alcaraz,32,3,81,70,6282,69.8,0.05,0.04,0.99
037130ca,Robert Tesche,34,1,11,5,349,3.9,0.02,0.0,1.0
0375723e,Simone Verdi,31,3,43,23,1975,21.9,0.14,0.13,1.07
037dbd30,Son,27,1,26,22,1971,21.9,0.03,0.04,1.0
037f2523,Jean-Philippe Krasso,24,1,16,5,453,5.0,0.23,0.1,0.99
0387fc57,Adewele Sapara,27,2,9,1,175,1.9,0.1,0.05,1.0
039a4fb6,Tio Cipot,19,1,8,0,139,1.5,0.02,0.06,1.0
039f01a9,Nuha Jatta,17,1,1,0,1,0.0,,,1.0
039f1983,Joseph Okumu,26,1,21,19,1743,19.4,0.06,0.0,0.99
03b22796,Junior Kadile,19,2,18,8,704,7.9,0.23,0.06,1.0
03b64727,Joel Ferreira,29,1,1,1,45,0.5,0.0,0.0,1.0
03df04ff,Odisseas Vlachodimos,29,3,72,72,6477,72.0,0.0,0.0,1.0
03e91055,Jason Berthomier,32,2,31,22,1755,19.5,0.07,0.15,0.99
03edb878,Daniel Jebbison,19,3,25,6,715,7.9,0.27,0.1,0.95
03f946ed,Andrea Petagna,28,3,73,36,3244,36.1,0.16,0.13,0.98
0400dd2f,Badredine Bouanani,18,2,37,14,1467,16.3,0.16,0.21,0.96
041961de,Julian von Moos,20,1,5,0,118,1.3,0.06,0.09,1.0
0420d84f,Séamus Coleman,34,3,65,57,4977,55.3,0.02,0.07,1.01
042e8a49,Kingsley Coman,27,3,62,47,3881,43.2,0.19,0.23,1.08
043168bf,Anderson Carvalho,32,2,38,28,2389,26.6,0.04,0.02,0.98
0442183b,Nathaniel Clyne,32,3,57,48,4329,48.1,0.01,0.02,0.99
0467df63,Caio Secco,32,1,4,4,360,4.0,0.0,0.0,1.0
047759a0,Ibrahima Kebe,22,1,2,0,9,0.1,0.0,0.0,1.0
0480ebc7,Elijah Adebayo,25,3,109,93,8005,88.9,0.23,0.05,0.99
0488e49f,Leandro Miguel Pereira Silva,27,1,31,27,2198,24.4,0.03,0.14,1.0
0489bb30,Eddie Salcedo,19,1,12,5,429,4.8,0.23,0.04,0.97
048a1cbc,Raphaël Guerreiro,29,3,70,60,5276,58.5,0.1,0.16,1.05
04965583,Aleix Vidal,32,2,56,31,2926,32.5,0.01,0.12,1.02
049751d7,András Schäfer,24,3,44,25,2313,25.799999999999997,0.08,0.06,0.99
04989945,Simone Muratore,23,1,2,0,27,0.3,0.0,0.0,1.0
049a888d,Mykhailo Mudryk,22,2,46,25,2233,24.8,0.25,0.21,0.98
04a67d5b,Rafa Mújica,24,2,57,51,4162,46.2,0.54,0.07,1.05
04ac78d2,Bamo Meïté,21,2,35,24,2287,25.4,0.02,0.0,1.0
04ac8285,Jasper Cillessen,34,3,79,79,6977,77.5,0.0,0.0,1.0
04b40c58,Nicolò Bertola,18,1,2,0,35,0.4,0.02,0.0,1.0
04bb2b06,Ibrahima Koné,24,3,63,23,2618,29.1,0.15,0.06,1.06
04c4b9de,Mimoun Mahi,28,2,35,14,1431,16.0,0.14,0.15,0.99
04c4edc1,Gennaro Borrelli,23,1,1,0,24,0.3,0.0,0.0,1.0
04d98300,Will Boyle,26,1,16,8,808,9.0,0.04,0.01,0.99
04df29a5,Lorenzo Colombo,21,2,58,34,2874,31.9,0.19,0.04,1.0
04e17fd5,Youssef En-Nesyri,26,3,87,60,5508,61.3,0.28,0.04,1.04
04e531b6,Pablo Torre,20,2,34,5,845,9.4,0.06,0.11,0.99
04e82fa0,Joris Kramer,26,3,78,65,5918,65.8,0.02,0.01,1.03
0512a60a,Ismaël Doukouré,20,3,51,44,3970,44.099999999999994,0.01,0.01,1.01
052ac6d5,Abdul-Aziz Yakubu,24,2,33,29,2400,26.6,0.11,0.09,1.07
05439de2,David Alaba,31,3,67,65,5634,62.599999999999994,0.04,0.04,0.99
0545a08e,Walid Cheddira,25,1,36,24,2120,23.6,0.26,0.04,0.97
054849d2,Iago,26,3,73,63,5396,60.0,0.04,0.07,1.01
0557ff4f,Danilo Barbosa,25,1,1,1,90,1.0,0.0,0.0,1.0
055cb86b,Kikas,24,1,31,15,1561,17.3,0.4,0.12,1.02
056269d7,Óscar Mingueza,24,3,78,55,5176,57.5,0.05,0.09,0.98
0562b7f1,Odsonne Édouard,25,3,93,55,4922,54.7,0.3,0.07,1.01
056a8552,Shiō Fukuda,19,1,5,0,36,0.4,0.3,0.05,1.0
056d2d95,Christopher Trimmel,36,3,76,62,5447,60.5,0.03,0.09,0.99
0571e024,Danny Henriques,24,1,26,21,1970,21.9,0.04,0.0,0.99
0588a092,Frank Tsadjout,23,1,20,14,1051,11.7,0.13,0.04,1.02
0589c701,Pedro Brazão,19,2,17,10,679,7.6,0.1,0.11,1.0
0595569d,Alaa Bellaarouch,21,1,15,15,1350,15.0,0.0,0.0,1.0
059a83b8,Therence Koudou,18,1,9,3,314,3.5,0.02,0.05,1.0
05ba9d7c,Tanguy Coulibaly,22,3,51,18,2028,22.5,0.22,0.07,0.98
05ca4fcb,Nick Powell,28,2,43,23,2240,24.9,0.17,0.06,1.03
05d548d8,Mats Hummels,34,3,78,64,5364,59.6,0.1,0.04,0.98
05e19d6a,Franck Kessié,25,2,59,32,3298,36.6,0.09,0.05,1.02
05e2d5ea,Delano Burgzorg,24,3,66,36,3628,40.3,0.09,0.04,1.04
05e8ca6d,Cameron Archer,22,3,79,56,4901,54.5,0.24,0.13,1.04
05f99a4a,Jonathan Burkardt,23,3,66,57,4682,52.0,0.26,0.09,0.98
060606ec,Marco D'Alessandro,31,1,8,3,290,3.2,0.08,0.04,0.99
061266cd,Darlin Yongwa,22,2,36,19,1940,21.6,0.05,0.1,1.01
0619e470,Gustavo Klismahn,22,1,15,9,699,7.8,0.06,0.06,0.99
061e8e23,Maximilian Philipp,29,3,57,17,1844,20.5,0.12,0.06,0.99
0629941f,João Pedro Sousa Silva,24,1,15,5,507,5.6,0.21,0.07,0.98
062fc2e6,Rafa Soares,26,1,30,29,2537,28.2,0.07,0.14,0.98
0630eb63,Nemanja Radonjić,27,3,56,25,2344,26.0,0.26,0.08,0.95
0658de43,Naoufal Bannis,19,1,2,0,16,0.2,2.28,0.94,1.0
065c8786,Gustavo Assuncao,23,3,56,19,2185,24.299999999999997,0.02,0.05,1.01
065dc209,Terem Moffi,24,3,101,89,7374,82.0,0.3,0.1,0.99
0666f848,Tom Dele-Bashiru,23,3,79,59,5052,56.1,0.04,0.02,0.99
0677feec,Rúben Alexandre Gomes Oliveira,27,2,11,1,199,2.3000000000000003,0.0,0.02,1.0
067c8f21,Chico Lamba,19,1,1,0,45,0.5,0.0,0.18,1.0
068f4dec,Beñat Turrientes,21,3,43,21,2000,22.2,0.05,0.03,0.97
06a1d642,Mohammed Daramy,21,2,37,19,1856,20.6,0.17,0.12,0.97
06b08c45,Jacopo Fazzini,20,2,52,22,2057,22.9,0.07,0.1,0.98
06b4ef33,Youri Schoonderwaldt,22,1,2,2,180,2.0,0.0,0.0,1.0
06c062d4,Nonoca,25,2,41,30,2487,27.6,0.06,0.06,0.99
06c48679,Jonathan Gradit,30,3,94,94,8002,89.0,0.01,0.02,1.01
06cc6ad5,Antonio Satriano,19,1,6,1,163,1.8,0.2,0.0,0.99
06d51feb,Théo Barbet,22,1,29,19,1818,20.2,0.01,0.03,0.99
06dba850,Marin Šverko,24,2,29,12,1220,13.6,0.02,0.02,0.99
06dc2511,Renat Dadaşov,22,1,30,14,1441,16.0,0.17,0.12,0.99
06df8256,Benoît Badiashile,22,3,64,55,4920,54.7,0.05,0.06,1.01
06efa9dc,Sergio Akieme,25,2,61,54,4790,53.2,0.07,0.06,1.02
06f33dc8,Enzo Crivelli,26,1,4,0,102,1.1,0.35,0.0,0.99
0704d719,Mateus Lusuardi,19,1,4,3,219,2.4,0.02,0.0,1.0
070a3904,Sergi Darder,29,3,110,95,8602,95.6,0.06,0.16,1.04
070eb3e3,Léo Andrade,24,2,33,27,2349,26.1,0.08,0.01,0.99
071b6ba9,Gonçalo Rodrigues,26,2,48,48,4132,45.900000000000006,0.11,0.11,0.97
07279d96,Vincent Pichel,20,1,4,0,74,0.8,0.03,0.01,1.0
0728bebe,Gaetano Castrovilli,26,3,44,28,2476,27.6,0.08,0.08,1.03
0745b37d,Teemu Pukki,32,2,78,70,6185,68.7,0.2,0.09,0.96
0747000e,Paul Smyth,25,1,44,22,2189,24.3,0.1,0.04,0.97
074b9902,Rico Strieder,29,1,24,18,1451,16.1,0.0,0.02,1.0
075fe5a3,Srđan Babić,27,2,35,34,3088,34.3,0.03,0.01,1.03
076bb352,Liam McCarron,20,1,1,0,10,0.1,0.0,0.0,1.0
07750704,Alfa Semedo,24,2,27,18,1499,16.7,0.09,0.06,0.97
07767f42,Francesco Magnanelli,36,1,12,2,271,3.0,0.02,0.0,1.0
077977c0,Paulo Vítor Fagundes dos Anjos,33,1,30,30,2700,30.0,0.0,0.0,1.0
077faf72,Matheus França,19,1,10,1,232,2.6,0.14,0.34,0.99
07802f7f,Danny Ings,31,3,85,40,3901,43.4,0.34,0.1,0.98
07a13958,Amine Boutrah,22,1,29,20,1822,20.2,0.07,0.03,1.0
07ace8c3,Rhys Healey,28,2,26,6,776,8.6,0.21,0.03,1.06
07bd38c5,Janoi Donacien,29,1,3,3,215,2.4,0.0,0.0,1.0
07c7eb0c,Anthony Losilla,37,3,95,95,8231,91.4,0.05,0.04,0.98
07d3bfec,Tom Bischof,18,3,25,4,507,5.7,0.18,0.22,0.98
07d65234,Anass Zaroury,22,2,52,37,3193,35.5,0.07,0.08,1.06
07ea0ef2,Leonardo Capezzi,26,1,5,2,175,1.9,0.0,0.0,1.0
07f8bcc8,Assan Ceesay,28,1,34,20,1812,20.1,0.16,0.03,1.01
080440a4,Martin Hinteregger,28,1,27,25,2222,24.7,0.04,0.02,1.0
0808e656,Jasin Assehnoun,23,1,29,4,731,8.1,0.09,0.08,0.99
080bb6bc,Sven Nieuwpoort,30,2,45,39,3151,35.1,0.01,0.0,1.01
080de72a,Yannis M'Bemba,20,1,2,0,5,0.1,1.31,0.0,1.0
0810b6df,Patrick Pentz,25,1,7,7,630,7.0,0.0,0.0,1.0
0821331c,Mattia Bani,29,2,44,40,3517,39.1,0.04,0.0,0.99
08391d76,Leonidas Stergiou,21,1,15,6,594,6.6,0.04,0.05,1.01
08452314,Alireza Jahanbakhsh,29,3,71,33,3236,36.0,0.13,0.16,1.0
0847b5a5,Mattia Aramu,26,1,32,25,2100,23.3,0.12,0.14,1.01
0849ef2d,Jacob Chapman,22,1,2,1,139,1.5,0.0,0.0,1.0
08511d65,Sergio Ramos,37,3,73,67,6022,66.9,0.06,0.0,1.03
085440a3,Índio,22,1,8,0,74,0.8,0.04,0.07,1.0
08593525,Diadie Samassékou,27,3,31,22,1782,19.799999999999997,0.04,0.04,1.02
085e71a7,Bartłomiej Drągowski,24,2,41,41,3502,38.900000000000006,0.0,0.0,1.0
088ae0d1,Rodrigo Abascal,29,3,83,83,7160,79.5,0.04,0.03,1.01
088ca1bd,Jonathan Schmid,32,2,16,6,629,7.0,0.09,0.1,0.99
0895ffb1,Bae Junho,19,1,38,25,2392,26.6,0.06,0.09,0.98
089667a5,Lewis O'Brien,24,3,79,67,5995,66.6,0.03,0.04,0.98
08990838,Denis Vavro,25,1,1,0,8,0.1,0.0,0.0,1.0
089c7323,Igor Paixão,23,2,59,40,3185,35.4,0.17,0.15,1.07
08aa9cd1,Andrea Pinamonti,24,3,106,94,8106,90.1,0.17,0.04,0.99
08b10f50,Jonny Howson,35,3,127,122,10734,119.4,0.01,0.05,0.98
08eb3b58,Matías Viña,25,3,56,37,3092,34.4,0.05,0.07,1.0
08f5afaa,Gianluigi Donnarumma,24,3,80,80,7108,79.0,0.0,0.0,1.0
08fe4a1a,Augustin Drakpe,19,1,1,0,27,0.3,0.0,0.0,1.0
0909f91d,Gaius Makouta,26,3,92,87,7586,84.3,0.08,0.05,0.98
0911b4fc,Tim Drexler,18,1,8,6,573,6.4,0.0,0.0,1.0
0912dd84,Diogo Pinto,24,2,18,5,468,5.199999999999999,0.13,0.07,0.99
0914806a,Mees Hoedemakers,25,3,87,76,6471,72.0,0.03,0.04,1.05
0917188a,Pontus Almqvist,24,2,37,27,2365,26.299999999999997,0.08,0.09,0.98
091c86e2,Felix Nmecha,22,3,66,30,3180,35.3,0.11,0.09,0.98
091d6ee5,Jerome Opoku,24,2,26,22,2053,22.8,0.01,0.02,1.0
0921a46c,Giorgi Aburjania,27,2,53,25,2382,26.5,0.04,0.1,1.01
09327ec3,Ibrahima Bamba,20,2,35,30,2620,29.1,0.03,0.01,0.99
094e6df2,Ramon Lundqvist,25,2,14,4,350,3.9,0.06,0.06,0.99
09505d94,Rodrigo Melro,19,1,1,0,1,0.0,,,1.0
09507ffa,Aleksandar Radovanović,29,1,9,8,569,6.3,0.01,0.0,1.0
09538fdb,Kevin Lasagna,29,2,54,28,2756,30.7,0.24,0.08,0.9
0959c2a2,Federico Valverde,25,3,102,81,7239,80.5,0.09,0.14,1.0
095e4199,Arber Zeneli,27,2,32,16,1409,15.6,0.15,0.23,0.98
0966143b,Samir Lagsir,18,1,5,0,93,1.0,0.07,0.0,1.02
0967845b,Fabiano Parisi,22,3,79,65,5761,64.0,0.04,0.07,0.98
09899de8,Simone Romagnoli,33,3,59,48,4379,48.7,0.04,0.01,1.01
0990f2fb,Fernando Varela,35,2,51,48,4099,45.6,0.02,0.02,0.99
099a2de5,Giuseppe Caso,24,1,14,2,417,4.6,0.05,0.03,0.99
099e666f,Jonjoe Kenny,25,2,44,36,3262,36.2,0.01,0.07,0.99
09a9e921,Carlos Bacca,34,1,17,4,513,5.7,0.11,0.17,0.98
09bcc566,Virgil Misidjan,29,2,58,37,3336,37.0,0.11,0.09,1.02
09bd28dd,Leeroy Owusu,24,1,31,31,2753,30.6,0.02,0.06,0.98
09c61cb2,Mohamed Aidara,25,2,24,15,1592,17.7,0.06,0.0,1.0
09fec029,Sean Morrison,32,3,45,39,3424,38.1,0.04,0.03,1.01
0a084b35,Josip Juranović,27,2,33,24,2229,24.8,0.04,0.12,0.99
0a0cc13c,Sergio León,33,1,29,14,1334,14.8,0.12,0.06,1.05
0a14d8a7,Alistair McCann,23,3,90,61,5537,61.5,0.02,0.02,0.96
0a16eb36,Jordi Osei-Tutu,23,2,24,12,982,10.9,0.06,0.01,0.99
0a17a7af,Habib sylla,24,2,16,11,1020,11.4,0.01,0.05,1.0
0a1cb833,Jiří Pavlenka,31,2,40,40,3538,39.3,0.0,0.0,1.0
0a236449,Dario Van den Buijs,27,3,71,68,5529,61.4,0.02,0.04,0.98
0a3065c8,Mitchell Dijks,30,3,54,37,3335,37.0,0.01,0.04,0.98
0a32c00c,Johan Hove,21,1,18,18,1470,16.3,0.05,0.06,1.01
0a3d6d2b,Chris Richards,23,3,55,40,3848,42.8,0.05,0.02,0.99
0a3f6cde,Christopher Antwi-Adjei,29,3,79,45,4327,48.1,0.1,0.15,0.99
0a447501,Antonio Sanabria,27,3,97,73,6369,70.7,0.25,0.06,0.94
0a483542,Giorgos Kyriakopoulos,27,3,81,59,5157,57.2,0.05,0.09,0.96
0a4a1821,Simon Olsson,25,2,67,59,4890,54.3,0.04,0.05,0.96
0a50f0da,Quincy Hoeve,20,1,17,0,355,3.9,0.14,0.1,0.98
0a63446f,Mickaël Alphonse,33,1,26,14,1361,15.1,0.02,0.03,0.99
0a69de7b,Kike Salas,21,2,29,23,1973,21.9,0.04,0.02,1.05
0a6cb1b1,Harry Souttar,24,3,38,35,3148,35.0,0.06,0.01,0.96
0a89e877,Benjamin Henrichs,26,3,85,63,5857,65.1,0.06,0.1,1.02
0a8fd9cb,Javier Serrano,18,1,5,1,68,0.8,0.0,0.0,1.0
0aa37dc2,Ephraim Yeboah,17,1,10,0,204,2.3,0.04,0.02,1.0
0ab1f153,Juan Cuadrado,35,3,74,52,4832,53.7,0.04,0.14,1.03
0abc51f2,Jorge Cuenca,23,3,71,57,5152,57.2,0.04,0.01,1.03
0ac94a23,Denis Cheryshev,30,1,17,5,563,6.3,0.11,0.05,0.98
0acda699,Francesco Bardi,30,2,3,3,267,3.0,0.0,0.0,1.0
0ad37003,Yvan Neyou,24,1,16,12,936,10.4,0.01,0.03,1.0
0ad53bdc,Milos Kerkez,19,2,61,55,4641,51.599999999999994,0.05,0.04,0.99
0ae2b36f,Arno Verschueren,26,3,70,67,5775,64.2,0.1,0.06,1.12
0ae4e09a,Roger Martí,32,3,78,59,4768,53.0,0.16,0.11,0.96
0aed0751,Osman Kakay,25,3,57,33,3332,37.0,0.02,0.02,0.97
0aeeed3f,Christian Fassnacht,29,1,40,19,1822,20.2,0.14,0.04,1.0
0af4dcf0,Cédric Bakambu,32,3,19,7,609,6.9,0.25,0.22,1.02
0afff3b7,Omri Altman,27,1,5,1,137,1.5,0.24,0.14,0.99
0b0a1b58,Harry Darling,23,2,69,57,5255,58.4,0.07,0.04,0.99
0b0cbe5b,Denis Bouanga,26,1,34,28,2436,27.1,0.22,0.14,1.02
0b104510,Marco Meyerhöfer,25,1,26,25,2280,25.3,0.04,0.02,1.0
0b1e3c10,Emil Hansson,25,2,48,38,3101,34.4,0.03,0.08,1.01
0b2c8585,Raúl Guti,25,2,59,29,2744,30.5,0.08,0.01,0.95
0b2c9aec,Mitchell van Bergen,23,3,70,20,2498,27.8,0.12,0.14,0.92
0b33f6ad,Mohammed Salisu,24,3,68,65,5980,66.4,0.05,0.02,0.94
0b40ae38,Josh Magennis,31,2,55,32,2649,29.5,0.11,0.04,0.94
0b45a8d7,Semir Telalovic,23,2,20,2,318,3.5,0.19,0.1,0.98
0b4854f9,Emil Bergström,28,1,13,8,748,8.3,0.04,0.02,0.99
0b4d8274,Romain Hamouma,35,2,41,21,1965,21.8,0.21,0.13,0.97
0b4f388a,Breel Embolo,26,3,66,45,4207,46.8,0.27,0.12,1.07
0b524c25,Hamdi Akujobi,23,2,28,17,1699,18.900000000000002,0.05,0.04,0.97
0b5a292a,Mário Rui,32,3,77,69,5946,66.0,0.02,0.11,0.96
0b6911e4,Jérémy Sebas,20,1,14,2,399,4.4,0.16,0.01,1.02
0b7dae21,Sava Cestic,22,1,6,2,211,2.3,0.03,0.0,1.0
0b8748ac,Lucas Cunha,25,2,47,47,4230,47.0,0.02,0.03,1.02
0b90bb97,Santi Mina,25,1,33,30,2367,26.3,0.22,0.08,0.99
0ba976e4,Ansu Fati,20,3,68,18,2300,25.599999999999998,0.5,0.1,0.98
0bad4516,Ryan Bennett,31,1,18,16,1437,16.0,0.01,0.01,1.0
0bb6e193,Yvann Macon,22,1,22,19,1529,17.0,0.02,0.06,0.99
0bc4e720,Manu Vallejo,25,2,27,4,674,7.5,0.09,0.07,1.0
0bc6be20,Jorge Grant,26,1,26,21,1737,19.3,0.04,0.05,1.01
0bd8952e,Pedro Aparício,27,1,15,2,329,3.7,0.24,0.12,1.0
0bdda685,Dexter Lembikisa,19,2,26,22,2027,22.6,0.0,0.01,1.01
0bdeb013,Cameron Peupion,19,1,1,0,6,0.1,0.9,0.0,1.0
0be276c6,Norbert Gyömbér,31,3,80,73,6063,67.4,0.02,0.01,0.97
0be2a8c4,Finn Stam,20,1,1,0,35,0.4,0.0,0.0,1.0
