Fbref,Player,Total_npG,Total_npxG,finishing
0000acda,Marco Benassi,0,2.3,0.96
0006e160,Bruno Onyemaechi,1,2.9,0.97
00242715,Moussa Niakhate,3,4.0,0.98
00242b75,Leandro Barreiro Martins,9,10.9,0.97
00321ac5,Jari Vlak,1,0.9,1.0
0032d3ad,Sylla Sow,8,7.6,1.01
003cf4d1,Jayden Danns,0,0.0,1.0
003db40b,Georgie Kelly,5,4.3,1.01
00459419,Marko Arnautović,24,22.3,1.02
004d185e,Tete Morente,7,7.2,1.0
00521598,Callum Wright,0,1.7,0.97
0057a058,Moises Castillo,0,0.7,0.99
00638016,Léo Pétrot,1,0.5,1.01
00672803,Lasse Günther,0,0.1,1.0
006d23cd,Barry Lauwers,0,0.0,1.0
007414dd,Samuel Edozie,6,3.8,1.04
0076ab7f,Nemanja Gudelj,4,2.6,1.02
007b39a5,Onel Hernández,6,9.8,0.94
007faf7a,Lucas Da Cunha,2,2.5,0.99
0086c968,Patrick Joosten,2,1.7000000000000002,1.01
00891164,Cédric Hountondji,1,1.7000000000000002,0.99
008f854b,Morgan Fox,1,2.3,0.98
00953a9d,Mikey Moore,0,0.0,1.0
00963611,Konstantinos Mavropanos,7,7.9,0.99
009a4f60,Julian Ryerson,7,4.3,1.05
00a17eba,Samuele Perisan,0,0.0,1.0
00a2c297,Pedro Álvaro,1,1.4,0.99
00a8d210,Przemysław Frankowski,10,6.3,1.06
00b28772,Nemanja Maksimović,5,9.9,0.92
00b77ecf,Nathan Fraser,0,0.3,0.99
00c9a283,Hugo Larsson,2,1.3,1.01
00d19548,Pedro Trigueira,0,0.0,1.0
00d4e7b3,Ofir Marciano,0,0.0,1.0
00dad262,Pedro Amador,0,0.9,0.98
00e36323,Florian Pick,0,0.3,0.99
00e79138,Naoki Maeda,0,0.7,0.99
00eba9c9,Selim Amallah,2,1.3,1.01
00f0482f,Shola Shoretire,0,0.0,1.0
00f48ee7,Uladzislaŭ Marozaŭ,0,0.2,1.0
00f518d8,Faride Alidou,4,3.1,1.02
0107757e,Filip Jørgensen,0,0.0,1.0
01086c66,Josh Ruffels,3,1.9000000000000001,1.02
011890d9,Alfie Chang,0,0.2,1.0
0118c54c,Anthony Caci,5,3.0,1.03
0118dd71,Ben Wilson,1,0.9,1.0
011b2a32,Trévis Dago,0,0.0,1.0
01226327,Ryan Bertrand,0,0.0,1.0
0127419a,Ianis Hagi,0,2.0,0.96
012c975a,Rhys Williams,0,0.6000000000000001,0.99
014aa7bd,Álvaro Aguado,1,1.0,1.0
0154d290,Felix Afena-Gyan,2,3.5999999999999996,0.97
0166a73e,Álvaro Vallés,0,0.0,1.0
016ff750,Valentino Lazaro,0,2.7,0.95
017018d1,Fabian Holland,0,0.6,0.99
01716c85,Cameron Pring,2,2.9,0.98
0174ba21,Robin Hack,10,5.8,1.07
01753a47,Oliver Turton,0,1.8,0.97
017b4247,Álex Vallejo,1,0.1,1.02
01834aa0,Sebastiaan Bornauw,2,2.3000000000000003,0.99
01870104,Mohamed Lamine Bayo,19,20.8,0.98
01962d0d,Joe Gelhardt,5,8.7,0.94
01a49bd2,Lisandro Magallán,0,0.7,0.99
01b8a2b2,Wojciech Szczęsny,0,0.0,1.0
01bb93d5,Nicolás Paz,0,0.1,1.0
01becd60,Alan Virginius,1,4.4,0.94
01c3aff5,Weston McKennie,4,6.800000000000001,0.95
01ca961e,Benaissa Benamar,6,3.5,1.04
01ce9e70,Kieffer Moore,21,18.8,1.03
01da7812,Myrto Uzuni,8,10.1,0.97
01e5f06e,Sergio Gómez,0,0.6000000000000001,0.99
01eb744d,Ángel Correa,29,21.5,1.1
01efac19,Antonín Barák,11,9.8,1.02
01f86799,Joshua Austerfield,0,0.0,1.0
01fd01e8,Souleymane Touré,2,3.2,0.98
022c1bf7,Gui Guedes,0,0.0,1.0
02319ad7,Jaime Mata,7,8.799999999999999,0.97
023937a9,Ivan Radovanović,1,1.2,1.0
0248e806,Dean Bouzanis,0,0.0,1.0
025190a5,Siebe Horemans,6,4.4,1.03
0256640c,Gonçalo Nogueira,0,0.0,1.0
026fd257,Jose Souza,0,0.0,1.0
02760e49,Michel Vlap,10,18.3,0.89
028e70b9,Joshua Zirkzee,11,10.5,1.01
02a5618e,Fran Navarro,28,28.8,0.99
02b29014,Abdoulaye Doucouré,14,13.4,1.01
02b3733e,Lucas Mincarelli,1,0.4,1.01
02b952ce,Aapo Halme,0,0.2,1.0
02bcaf8e,Bilal Brahimi,3,2.2,1.01
02c15616,Marcos Llorente,7,6.8999999999999995,1.0
02caf6e0,Manuel Lazzari,3,2.1,1.02
02d2c436,Luis Hernández,1,1.8,0.99
02edb152,Jonathan Monroy,1,1.6,0.99
02ee4c77,Bjørn Johnsen,2,4.7,0.95
02ef8778,Raúl de Tomás,15,17.299999999999997,0.97
0302f7b4,Jastin García,0,0.0,1.0
03049c8c,Keidi Bare,1,0.8999999999999999,1.0
030ef8d6,Jofre,0,0.0,1.0
0313a347,Ezri Konsa,3,5.2,0.96
032f894e,Renato Sanches,5,2.1,1.05
035db54d,Hernán De La Fuente,0,1.9,0.97
036bba5f,Rubén Alcaraz,4,4.6,0.99
037130ca,Robert Tesche,0,0.1,1.0
0375723e,Simone Verdi,9,4.6,1.07
037dbd30,Son,1,0.9,1.0
037f2523,Jean-Philippe Krasso,1,1.6,0.99
0387fc57,Adewele Sapara,0,0.2,1.0
039a4fb6,Tio Cipot,0,0.0,1.0
039f01a9,Nuha Jatta,0,0.0,1.0
039f1983,Joseph Okumu,1,1.5,0.99
03b22796,Junior Kadile,2,2.1,1.0
03b64727,Joel Ferreira,0,0.0,1.0
03df04ff,Odisseas Vlachodimos,0,0.0,1.0
03e91055,Jason Berthomier,1,1.7,0.99
03edb878,Daniel Jebbison,1,4.0,0.95
03f946ed,Andrea Petagna,7,8.1,0.98
0400dd2f,Badredine Bouanani,1,3.3,0.96
041961de,Julian von Moos,0,0.2,1.0
0420d84f,Séamus Coleman,2,1.6,1.01
042e8a49,Kingsley Coman,17,11.399999999999999,1.08
043168bf,Anderson Carvalho,0,1.1,0.98
0442183b,Nathaniel Clyne,0,0.30000000000000004,0.99
0467df63,Caio Secco,0,0.0,1.0
047759a0,Ibrahima Kebe,0,0.0,1.0
0480ebc7,Elijah Adebayo,30,30.6,0.99
0488e49f,Leandro Miguel Pereira Silva,1,0.8,1.0
0489bb30,Eddie Salcedo,0,1.5,0.97
048a1cbc,Raphaël Guerreiro,10,7.2,1.05
