Fbref,Player,Total_npG,Total_npxG,finishing
04965583,Aleix Vidal,2,0.7999999999999999,1.02
049751d7,András Schäfer,2,2.8,0.99
04989945,Simone Muratore,0,0.0,1.0
049a888d,Mykhailo Mudryk,5,6.300000000000001,0.98
04a67d5b,Rafa Mújica,28,24.4,1.05
04ac78d2,Bamo Meïté,1,0.7999999999999999,1.0
04ac8285,Jasper Cillessen,0,0.0,1.0
04b40c58,Nicolò Bertola,0,0.0,1.0
04bb2b06,Ibrahima Koné,10,6.300000000000001,1.06
04c4b9de,Mimoun Mahi,5,5.3999999999999995,0.99
04c4edc1,Gennaro Borrelli,0,0.0,1.0
04d98300,Will Boyle,0,0.6,0.99
04df29a5,Lorenzo Colombo,8,8.2,1.0
04e17fd5,Youssef En-Nesyri,27,23.7,1.04
04e531b6,Pablo Torre,0,0.8,0.99
04e82fa0,Joris Kramer,4,2.5,1.03
0512a60a,Ismaël Doukouré,1,0.6,1.01
052ac6d5,Abdul-Aziz Yakubu,7,3.2,1.07
05439de2,David Alaba,3,3.4000000000000004,0.99
0545a08e,Walid Cheddira,6,8.2,0.97
054849d2,Iago,3,2.7,1.01
0557ff4f,Danilo Barbosa,0,0.0,1.0
055cb86b,Kikas,8,6.9,1.02
056269d7,Óscar Mingueza,2,3.3000000000000003,0.98
0562b7f1,Odsonne Édouard,17,16.0,1.01
056a8552,Shiō Fukuda,0,0.2,1.0
056d2d95,Christopher Trimmel,2,2.5999999999999996,0.99
0571e024,Danny Henriques,0,0.8,0.99
0588a092,Frank Tsadjout,3,2.0,1.02
0589c701,Pedro Brazão,1,0.8,1.0
0595569d,Alaa Bellaarouch,0,0.0,1.0
059a83b8,Therence Koudou,0,0.1,1.0
05ba9d7c,Tanguy Coulibaly,4,4.9,0.98
05ca4fcb,Nick Powell,10,8.399999999999999,1.03
05d548d8,Mats Hummels,5,6.300000000000001,0.98
05e19d6a,Franck Kessié,5,3.8,1.02
05e2d5ea,Delano Burgzorg,11,8.6,1.04
05e8ca6d,Cameron Archer,22,19.0,1.04
05f99a4a,Jonathan Burkardt,18,19.5,0.98
060606ec,Marco D'Alessandro,0,0.3,0.99
061266cd,Darlin Yongwa,2,1.4,1.01
0619e470,Gustavo Klismahn,0,0.4,0.99
061e8e23,Maximilian Philipp,3,3.8,0.99
0629941f,João Pedro Sousa Silva,0,1.2,0.98
062fc2e6,Rafa Soares,1,2.0,0.98
0630eb63,Nemanja Radonjić,5,8.4,0.95
0658de43,Naoufal Bannis,1,0.8,1.0
065c8786,Gustavo Assuncao,1,0.5,1.01
065dc209,Terem Moffi,31,31.8,0.99
0666f848,Tom Dele-Bashiru,5,5.3999999999999995,0.99
0677feec,Rúben Alexandre Gomes Oliveira,0,0.0,1.0
067c8f21,Chico Lamba,0,0.0,1.0
068f4dec,Beñat Turrientes,0,1.6,0.97
06a1d642,Mohammed Daramy,4,5.699999999999999,0.97
06b08c45,Jacopo Fazzini,1,2.2,0.98
06b4ef33,Youri Schoonderwaldt,0,0.0,1.0
06c062d4,Nonoca,1,1.5,0.99
06c48679,Jonathan Gradit,2,1.2000000000000002,1.01
06cc6ad5,Antonio Satriano,0,0.7,0.99
06d51feb,Théo Barbet,0,0.6,0.99
06dba850,Marin Šverko,0,0.6,0.99
06dc2511,Renat Dadaşov,2,2.7,0.99
06df8256,Benoît Badiashile,4,3.7,1.01
06efa9dc,Sergio Akieme,5,4.1,1.02
06f33dc8,Enzo Crivelli,0,0.5,0.99
0704d719,Mateus Lusuardi,0,0.1,1.0
070a3904,Sergi Darder,11,8.3,1.04
070eb3e3,Léo Andrade,1,1.7000000000000002,0.99
071b6ba9,Gonçalo Rodrigues,3,4.5,0.97
07279d96,Vincent Pichel,0,0.0,1.0
0728bebe,Gaetano Castrovilli,4,2.5,1.03
0745b37d,Teemu Pukki,18,20.7,0.96
0747000e,Paul Smyth,3,4.7,0.97
074b9902,Rico Strieder,0,0.0,1.0
075fe5a3,Srđan Babić,3,1.2,1.03
076bb352,Liam McCarron,0,0.0,1.0
07750704,Alfa Semedo,0,1.5,0.97
07767f42,Francesco Magnanelli,0,0.0,1.0
077977c0,Paulo Vítor Fagundes dos Anjos,0,0.0,1.0
077faf72,Matheus França,0,0.4,0.99
07802f7f,Danny Ings,13,14.399999999999999,0.98
07a13958,Amine Boutrah,3,2.8,1.0
07ace8c3,Rhys Healey,7,3.6999999999999997,1.06
07bd38c5,Janoi Donacien,0,0.0,1.0
07c7eb0c,Anthony Losilla,5,6.4,0.98
07d3bfec,Tom Bischof,0,1.4,0.98
07d65234,Anass Zaroury,9,5.1,1.06
07ea0ef2,Leonardo Capezzi,0,0.0,1.0
07f8bcc8,Assan Ceesay,5,4.3,1.01
080440a4,Martin Hinteregger,1,1.2,1.0
0808e656,Jasin Assehnoun,1,1.5,0.99
080bb6bc,Sven Nieuwpoort,1,0.6,1.01
080de72a,Yannis M'Bemba,0,0.1,1.0
0810b6df,Patrick Pentz,0,0.0,1.0
0821331c,Mattia Bani,2,2.3,0.99
08391d76,Leonidas Stergiou,1,0.4,1.01
08452314,Alireza Jahanbakhsh,9,9.0,1.0
0847b5a5,Mattia Aramu,4,3.6,1.01
0849ef2d,Jacob Chapman,0,0.0,1.0
08511d65,Sergio Ramos,7,5.4,1.03
085440a3,Índio,0,0.0,1.0
08593525,Diadie Samassékou,2,1.1,1.02
085e71a7,Bartłomiej Drągowski,0,0.0,1.0
088ae0d1,Rodrigo Abascal,3,2.6,1.01
088ca1bd,Jonathan Schmid,0,0.5,0.99
0895ffb1,Bae Junho,2,3.0,0.98
089667a5,Lewis O'Brien,4,5.199999999999999,0.98
08990838,Denis Vavro,0,0.0,1.0
089c7323,Igor Paixão,16,11.5,1.07
08aa9cd1,Andrea Pinamonti,22,22.4,0.99
08b10f50,Jonny Howson,2,2.9,0.98
08eb3b58,Matías Viña,2,1.8,1.0
08f5afaa,Gianluigi Donnarumma,0,0.0,1.0
08fe4a1a,Augustin Drakpe,0,0.0,1.0
0909f91d,Gaius Makouta,6,7.5,0.98
0911b4fc,Tim Drexler,0,0.0,1.0
0912dd84,Diogo Pinto,0,0.7,0.99
0914806a,Mees Hoedemakers,7,4.2,1.05
0917188a,Pontus Almqvist,2,3.1999999999999997,0.98
091c86e2,Felix Nmecha,4,5.2,0.98
091d6ee5,Jerome Opoku,0,0.2,1.0
0921a46c,Giorgi Aburjania,2,1.3,1.01
09327ec3,Ibrahima Bamba,0,0.8,0.99
094e6df2,Ramon Lundqvist,0,0.5,0.99
09505d94,Rodrigo Melro,0,0.0,1.0
09507ffa,Aleksandar Radovanović,0,0.0,1.0
09538fdb,Kevin Lasagna,3,9.3,0.9
0959c2a2,Federico Valverde,9,8.7,1.0
095e4199,Arber Zeneli,2,3.4000000000000004,0.98
0966143b,Samir Lagsir,1,0.1,1.02
0967845b,Fabiano Parisi,2,3.4,0.98
09899de8,Simone Romagnoli,3,2.7,1.01
0990f2fb,Fernando Varela,1,1.7000000000000002,0.99
099a2de5,Giuseppe Caso,0,0.3,0.99
099e666f,Jonjoe Kenny,0,0.5,0.99
09a9e921,Carlos Bacca,0,0.9,0.98
09bcc566,Virgil Misidjan,10,8.600000000000001,1.02
09bd28dd,Leeroy Owusu,0,0.9,0.98
09c61cb2,Mohamed Aidara,1,1.2,1.0
09fec029,Sean Morrison,4,3.2,1.01
0a084b35,Josip Juranović,1,1.4,0.99
0a0cc13c,Sergio León,5,2.3,1.05
0a14d8a7,Alistair McCann,1,3.2,0.96
0a16eb36,Jordi Osei-Tutu,0,0.7999999999999999,0.99
0a17a7af,Habib sylla,0,0.1,1.0
0a1cb833,Jiří Pavlenka,0,0.0,1.0
0a236449,Dario Van den Buijs,1,2.1,0.98
0a3065c8,Mitchell Dijks,0,1.1,0.98
0a32c00c,Johan Hove,2,1.6,1.01
0a3d6d2b,Chris Richards,2,2.5,0.99
0a3f6cde,Christopher Antwi-Adjei,6,6.4,0.99
0a447501,Antonio Sanabria,20,24.5,0.94
0a483542,Giorgos Kyriakopoulos,1,3.6,0.96
0a4a1821,Simon Olsson,2,4.4,0.96
0a50f0da,Quincy Hoeve,0,1.1,0.98
0a63446f,Mickaël Alphonse,0,0.5,0.99
0a69de7b,Kike Salas,4,1.0,1.05
0a6cb1b1,Harry Souttar,0,2.4,0.96
0a89e877,Benjamin Henrichs,6,5.0,1.02
0a8fd9cb,Javier Serrano,0,0.0,1.0
0aa37dc2,Ephraim Yeboah,0,0.2,1.0
0ab1f153,Juan Cuadrado,5,3.3,1.03
0abc51f2,Jorge Cuenca,4,2.5,1.03
0ac94a23,Denis Cheryshev,0,0.9,0.98
0acda699,Francesco Bardi,0,0.0,1.0
0ad37003,Yvan Neyou,0,0.1,1.0
0ad53bdc,Milos Kerkez,3,3.5,0.99
0ae2b36f,Arno Verschueren,20,11.9,1.12
0ae4e09a,Roger Martí,9,12.0,0.96
0aed0751,Osman Kakay,0,1.8,0.97
0aeeed3f,Christian Fassnacht,6,5.9,1.0
0af4dcf0,Cédric Bakambu,4,3.0,1.02
0afff3b7,Omri Altman,0,0.4,0.99
0b0a1b58,Harry Darling,7,7.8,0.99
0b0cbe5b,Denis Bouanga,9,8.0,1.02
0b104510,Marco Meyerhöfer,1,1.2,1.0
0b1e3c10,Emil Hansson,3,2.3,1.01
0b2c8585,Raúl Guti,0,2.8,0.95
0b2c9aec,Mitchell van Bergen,0,4.7,0.92
0b33f6ad,Mohammed Salisu,0,3.7,0.94
0b40ae38,Josh Magennis,3,6.6,0.94
0b45a8d7,Semir Telalovic,0,1.3,0.98
0b4854f9,Emil Bergström,0,0.6,0.99
0b4d8274,Romain Hamouma,4,6.1,0.97
0b4f388a,Breel Embolo,22,16.700000000000003,1.07
0b524c25,Hamdi Akujobi,0,1.7,0.97
0b5a292a,Mário Rui,0,2.3,0.96
0b6911e4,Jérémy Sebas,2,1.0,1.02
0b7dae21,Sava Cestic,0,0.1,1.0
0b8748ac,Lucas Cunha,2,0.9,1.02
0b90bb97,Santi Mina,7,7.7,0.99
0ba976e4,Ansu Fati,13,14.5,0.98
0bad4516,Ryan Bennett,0,0.1,1.0
0bb6e193,Yvann Macon,0,0.3,0.99
0bc4e720,Manu Vallejo,1,0.8999999999999999,1.0
0bc6be20,Jorge Grant,2,1.4,1.01
0bd8952e,Pedro Aparício,1,0.9,1.0
0bdda685,Dexter Lembikisa,1,0.2,1.01
0bdeb013,Cameron Peupion,0,0.1,1.0
0be276c6,Norbert Gyömbér,0,1.5,0.97
0be2a8c4,Finn Stam,0,0.0,1.0
0be95d34,Romain Del Castillo,6,6.1,1.0
0bfca6a1,Quentin Merlin,3,2.0,1.02
0c142e14,Gervane Kastaneer,2,4.6,0.96
0c152537,Daniel Bragança,5,3.0,1.03
0c2ac3cb,Rafinha,1,2.7,0.97
0c3bca05,Chris Sze,0,0.0,1.0
0c3df334,John Clarke,0,0.0,1.0
0c4169a5,Joao Marcos,0,0.0,1.0
0c43c76c,Jasper Schendelaar,0,0.0,1.0
0c4f30d6,Daniel Crowley,0,0.5,0.99
0c61c77c,Dodi Lukebakio,12,13.3,0.98
0c717ae6,Barcia,0,0.0,1.0
0c7a48f8,Piero Hincapié,3,3.8,0.99
0c7b1c91,Lucas Michal,0,0.0,1.0
0c88efca,Eniss Shabani,0,0.0,1.0
0c97d846,Ulrik Yttergård Jenssen,0,0.0,1.0
0c9aad01,David Cornell,0,0.0,1.0
0ca4fdab,Depú,3,4.3,0.98
0caa2fd4,Johan Bakayoko,17,12.899999999999999,1.06
0cadc46d,Vedat Muriqi,20,20.7,0.99
0cb29e91,Njegoš Petrović,0,0.7,0.99
0cbc8baa,Jean-Kevin Duverne,1,1.7,0.99
0cbe584d,Filip Stojilković,0,0.2,1.0
0cbf4c54,Norman Theuerkauf,0,0.4,0.99
0cc5f4a5,Lukas Nmecha,13,11.9,1.02
0cc9e053,João Carlos,4,5.1,0.98
0ccac09c,Stefano Sabelli,0,0.9,0.98
0cd31129,Brennan Johnson,25,27.1,0.97
0cddeaa7,Philipp Klement,1,0.3,1.01
0cf321c8,Đorđe Petrović,0,0.0,1.0
0cf465f2,Kaio Jorge,2,4.5,0.96
0cf778df,Chris Führich,15,11.9,1.05
0d077b88,Mehdi Bourabia,2,2.2,1.0
0d267745,Nicolás Otamendi,3,7.6,0.93
0d274394,Anass Salah-Eddine,0,0.39999999999999997,0.99
0d41f821,Mio Backhaus,0,0.0,1.0
0d422df7,Marco Silvestri,0,0.0,1.0
0d46ac39,Jordan Helliwell,0,0.0,1.0
0d4ceb32,Matěj Vydra,2,2.9,0.98
0d55d942,Alexander Schwolow,0,0.1,1.0
0d690336,Larra,2,1.1,1.02
0d7b6576,Elye Wahi,36,29.9,1.07
0d82903c,Alex Sandro,1,1.5,0.99
0d8a37c2,Tobias Sippel,0,0.0,1.0
0d93febc,Jhon Murillo,2,1.5,1.01
0d9b2d31,Pedri,13,9.3,1.06
0da32a38,Nils Seufert,0,0.0,1.0
0da3d7ab,Mathis Lambourde,0,0.0,1.0
0da6a13e,Theo Bongonda,3,4.4,0.98
0daa8ef1,Tyler Burey,3,3.5,0.99
0db169ae,Sandro Tonali,8,7.199999999999999,1.01
0db5d2c8,Mathias Jørgensen,2,1.7,1.01
0def2376,Warren Bondo,1,1.0,1.0
0df092d3,Jake Clarke-Salter,1,1.9,0.98
0df43081,Benjamin van Leer,0,0.0,1.0
0dfce079,Boris Radunović,0,0.0,1.0
0e006cae,Kjell-Arik Wätjen,0,0.0,1.0
0e0102eb,Omar Marmoush,18,20.599999999999998,0.97
0e0d6c53,Duccio Degl'Innocenti,0,0.0,1.0
0e12089d,Maxime Dupé,0,0.0,1.0
0e46fa2f,Matthis Abline,7,6.8999999999999995,1.0
0e4fef6e,Lucas Torró,3,4.5,0.97
0e50f929,Fran Mérida,0,0.1,1.0
0e544991,Pedro Pinho,1,0.2,1.01
0e5b23db,Finley Welch,0,0.0,1.0
0e5ddc7c,Dani Gómez,4,4.7,0.99
0e624011,Thomas Luciano,1,0.1,1.02
0e67374f,Anthony Descotte,1,0.8999999999999999,1.0
0e6bc38c,Eric Maxim Choupo-Moting,16,12.1,1.06
0e777d45,Ricky Jade-Jones,0,0.7,0.99
0e7ccfc4,Sébastien Corchia,0,0.6000000000000001,0.99
0e854d4f,Darío Serra,1,0.5,1.01
0e8d7b6c,Ayman Kari,1,1.1,1.0
0ea6e37d,Ismael,0,0.3,0.99
0eb32994,Dejan Tetek,0,0.1,1.0
0eb4a4f3,Gijs Smal,4,4.6000000000000005,0.99
0ed063d6,Yasser Larouci,1,0.8,1.0
0ed50019,Eros Maddy,0,0.0,1.0
0ed60738,Senne Lynen,0,0.4,0.99
0ee664db,Metehan Güçlü,0,0.1,1.0
0ee6ea6a,Grant Ranos,0,0.3,0.99
0ef89a37,Philippe Coutinho,7,7.6,0.99
0f134faf,Mathias Jensen,8,5.7,1.04
0f163eff,Ben Rienstra,2,1.3,1.01
0f26fd24,Anastasios Donis,0,0.9,0.98
0f26ffd7,Copete,2,1.0,1.02
0f41e2ee,Morato,1,2.2,0.98
0f59a7bf,Anton Stach,4,6.2,0.96
0f697e02,Nathan Bitumazala,0,0.0,1.0
0f714df2,Mateo Cassierra,0,0.0,1.0
0f7533cd,Bobby Reid,18,16.1,1.03
0f8418aa,Ibrahima Sissoko,2,4.3,0.96
0f86995c,Hianga Mananga Mbock,0,0.5,0.99
0f933743,Francisco Sierralta,1,1.9,0.98
0f984580,João Monteiro,0,0.0,1.0
0fa11d7d,Tomás Araújo,2,1.5,1.01
0fae1880,Mark McGuinness,5,5.3,1.0
0fbb73c2,Laurent Jans,0,0.7,0.99
0fbecd11,Dominik Kohr,4,5.2,0.98
0fc0cee3,Álvaro Ramalho,0,0.0,1.0
0fc8db7f,Samuel Parker,0,0.1,1.0
0fdcef0e,Kristjan Asllani,2,1.9,1.0
0feb3a1c,Augusto Dabo,0,0.0,1.0
0fee6bda,Martin Erlic,3,4.5,0.97
0ff630d0,Akim Zedadka,1,2.4000000000000004,0.98
1000a059,Stuart McKinstry,0,0.0,1.0
100104d1,Brian Araújo,0,0.0,1.0
1001ae82,Ryad Boudebouz,2,1.5,1.01
10072610,Claudio Bravo,0,0.0,1.0
10161491,Conor Hazard,0,0.0,1.0
101da2b5,Fernandinho,2,1.6,1.01
1025db8e,Jeffrey Gouweleeuw,2,3.9,0.97
102c9665,Alexsandro Ribeiro,3,3.8,0.99
102e2599,Tommaso Baldanzi,6,5.4,1.01
10311892,Elijah Morrison,0,0.0,1.0
103349a9,Igor Julião,1,0.5,1.01
1043a909,Pol Valentín,0,0.7,0.99
104b4ad3,Alberth Elis,9,6.2,1.05
104d0bb8,Alex Scott,6,6.7,0.99
10549b49,Sardar Azmoun,8,9.3,0.98
106bca06,Alessandro Schöpf,1,2.0,0.98
106c142c,Jesus Vazquez,1,2.0,0.98
10745192,Jamie Gittens,4,5.0,0.98
1079c685,Alberto Cerri,1,1.2,1.0
10876d02,Marvin Mehlem,3,3.8,0.99
108a7f3e,Josh Williams,0,0.1,1.0
108e44ca,Mads Frøkjær-Jensen,3,2.0,1.02
108f0a72,Ryley Towler,0,0.0,1.0
108fe016,Marcos Antônio,1,1.2,1.0
10a10454,Joe Rothwell,7,4.9,1.04
10b9fa99,Ethan Ampadu,0,3.7,0.94
10cb48b7,Daiki Hashioka,0,0.1,1.0
10cff752,Aron Dønnum,0,1.0,0.98
10d221cd,Daniel Iversen,0,0.0,1.0
10d8eff2,Miquel Nelom,0,0.0,1.0
10dc46f0,Salvatore Sirigu,0,0.0,1.0
10dd88f9,Gaëtan Perrin,2,2.1,1.0
10e51236,Abou Lô,0,0.1,1.0
10e7f486,Rogério,1,1.2000000000000002,1.0
10ec4169,Alex Mighten,1,1.4,0.99
10efd0e1,Jean Seri,3,2.8,1.0
10f0fdd3,Jean-Ricner Bellegarde,8,6.6,1.02
10f1cd17,Pipa,0,1.0,0.98
1100b177,Gavin Whyte,1,0.4,1.01
110338ae,Boy Waterman,0,0.0,1.0
1118e3e3,Deron Payne,0,0.1,1.0
111c3236,Fabian Delph,0,0.0,1.0
112521d1,Adrià Pedrosa,2,1.7999999999999998,1.0
112bd859,Dire Mebude,0,0.0,1.0
112c495e,Dimitris Giannoulis,0,1.5000000000000002,0.97
1137759d,Sergi Canós,4,5.9,0.97
11407d95,Marvin Pieringer,3,2.3,1.01
114bbdee,Loïc Bade,1,1.7,0.99
114ef345,Marcel Oakley,0,0.1,1.0
116a67ee,Mees de Wit,7,2.6,1.08
116c35df,Donyell Malen,27,23.2,1.05
1184dd60,Mickey van der Hart,0,0.0,1.0
11962fe7,Wajdi Kechrida,0,0.2,1.0
119b9a8e,Aymeric Laporte,4,5.4,0.98
11b9265b,Alberto Moreno,5,4.7,1.01
11d8aff0,Josep Martinez,0,0.0,1.0
11db0750,Marco Baixinho,0,0.6,0.99
11e3b2ee,Jaden Warner,0,0.0,1.0
11e5e469,Ivanildo Fernandes,0,1.2,0.98
11f54bd5,Siriki Dembélé,13,7.8,1.08
11fd2b75,Omar Mascarell,0,1.3,0.98
11fde8d3,Mike te Wierik,0,0.7,0.99
11ff3d56,Ibrahima Diallo,0,0.6000000000000001,0.99
1237c049,Ivane Chegra,0,0.0,1.0
1238a3f9,Davie Selke,14,12.0,1.03
123d2733,George Earthy,1,0.3,1.01
123de70e,Mario Engels,7,6.699999999999999,1.0
125ddc1e,Jonathan Russell,2,1.4,1.01
1264796e,Queensy Menig,0,0.8,0.99
1264ee68,Grant Hall,1,1.7000000000000002,0.99
1265a93a,Reece James,6,4.4,1.03
12665c30,Christ Tiéhi,2,1.7000000000000002,1.01
1268983a,Sérgio Conceição,0,0.0,1.0
12806697,Isak Hien,0,0.9,0.98
1282939a,Jhon Solis,0,1.0,0.98
128a19d7,Carles Soria,0,0.5,0.99
12947ab7,Eli Dasa,0,0.9,0.98
1295552e,Mert Müldür,0,0.5,0.99
129af0db,Álvaro Morata,36,32.9,1.04
12a4e38c,Etienne Youte Kinkoue,0,0.4,0.99
12b88955,Ateef Konaté,0,0.0,1.0
12bd0579,Nelson Sissoko,0,0.0,1.0
12c35abe,Jens Petter Hauge,2,2.1,1.0
12c50af5,Denis Suárez,4,2.8000000000000003,1.02
12c6cbef,André Ferreira,0,0.0,1.0
12dcbdcc,Ricardo Esgaio,1,4.1,0.95
12de1b0d,Diego Moreira,0,0.7999999999999999,0.99
12e6d21a,Jean-Pierre Nsame,0,0.7,0.99
12f1293b,Filipe Ferreira,0,0.30000000000000004,0.99
12f664ca,Nordin Bakker,0,0.0,1.0
12f9a649,Simon Ebonog,0,0.0,1.0
130a7a3f,Samu Castillejo,4,3.3,1.01
13203c45,Jérôme Roussillon,1,1.8,0.99
13210854,Olivier Deman,2,1.1,1.02
132a82f1,Wesley Fofana,1,1.2,1.0
132ac341,Aridane Hernández,0,0.6,0.99
132f161f,Vakoun Issouf Bayo,10,12.5,0.96
1338e42b,Gilberto,4,2.2,1.03
133d2aa5,Aboubacar Ali,0,0.2,1.0
133faa84,Marcão,0,0.0,1.0
135d500d,Gabriel,20,11.100000000000001,1.13
139560df,Omar El Hilali,0,0.0,1.0
13b44b02,Petar Stojanović,1,0.8999999999999999,1.0
13b736e9,Tristan Gooijer,0,0.2,1.0
